# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.001, n_drift_features=2, n_features=10, noise_percentage=0.1, random_state=None, sigma_percentage=0.1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Hyperplane Generator_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.800000,0.800000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,14.483398,32.270508,59.262695,59.262695,59.262695
390,0.575000,0.575000,0.565000,0.565000,0.595000,0.595000,0.645000,0.645000,0.645000,0.645000,14.483398,26.997070,76.391602,88.739258,88.739258
590,0.570000,0.565000,0.572500,0.580000,0.597500,0.600000,0.625000,0.605000,0.625000,0.605000,14.483398,29.473633,80.657227,117.407227,117.434570
790,0.588333,0.625000,0.563333,0.545000,0.616667,0.655000,0.631667,0.645000,0.630000,0.640000,14.483398,26.118164,78.411133,115.465820,120.711914
990,0.587500,0.585000,0.566250,0.575000,0.613750,0.605000,0.627500,0.615000,0.626250,0.615000,14.483398,30.665039,86.973633,121.254883,144.625977
1190,0.589000,0.595000,0.562000,0.545000,0.612000,0.605000,0.609000,0.535000,0.627000,0.630000,14.483398,38.711914,77.911133,107.071289,134.965820
1390,0.590000,0.595000,0.565000,0.580000,0.609167,0.595000,0.603333,0.575000,0.635833,0.680000,14.483398,30.887695,84.641602,109.110352,138.313477
1590,0.590714,0.595000,0.565714,0.570000,0.605000,0.580000,0.603571,0.605000,0.635714,0.635000,14.483398,28.161133,79.356445,95.336914,141.122070
1790,0.590000,0.585000,0.561250,0.530000,0.584375,0.440000,0.584375,0.450000,0.627500,0.570000,14.483398,33.055664,77.340820,104.438477,135.055664
1990,0.593889,0.625000,0.568889,0.630000,0.590556,0.640000,0.575000,0.500000,0.623333,0.590000,14.483398,32.555664,82.344727,113.551758,140.231445
2190,0.592500,0.580000,0.570000,0.580000,0.590500,0.590000,0.573500,0.560000,0.622500,0.615000,14.483398,36.415039,70.586914,101.329102,147.348633
2390,0.593636,0.605000,0.560000,0.460000,0.592727,0.615000,0.575455,0.595000,0.622273,0.620000,14.483398,35.540039,88.918945,117.395508,150.840820
2590,0.593333,0.590000,0.556250,0.515000,0.595417,0.625000,0.572917,0.545000,0.623750,0.640000,14.483398,36.348633,90.059570,117.887695,152.829102
2790,0.594615,0.610000,0.559231,0.595000,0.597308,0.620000,0.566154,0.485000,0.627308,0.670000,14.483398,32.555664,81.852539,103.801758,146.532227
2990,0.602143,0.700000,0.562857,0.610000,0.595357,0.570000,0.566429,0.570000,0.627857,0.635000,14.483398,30.083008,68.208008,108.969727,154.211914
3190,0.601667,0.595000,0.560333,0.525000,0.590667,0.525000,0.566333,0.565000,0.630667,0.670000,14.483398,30.981445,88.536133,106.575195,165.758789
3390,0.606875,0.685000,0.564375,0.625000,0.587812,0.545000,0.566875,0.575000,0.629375,0.610000,14.483398,33.102539,93.356445,112.555664,168.614258
3590,0.606765,0.605000,0.564412,0.565000,0.585000,0.540000,0.570000,0.620000,0.631765,0.670000,14.483398,33.786133,79.637695,107.102539,141.090820
3790,0.608889,0.645000,0.566667,0.605000,0.589722,0.670000,0.575556,0.670000,0.633889,0.670000,14.483398,34.083008,86.075195,100.415039,147.930664
3990,0.609474,0.620000,0.567632,0.585000,0.592895,0.650000,0.583421,0.725000,0.634211,0.640000,14.483398,35.184570,90.000977,107.657227,140.875977
4190,0.611500,0.650000,0.569000,0.595000,0.597750,0.690000,0.589500,0.705000,0.630750,0.565000,14.483398,37.129883,98.036133,112.317383,145.290039
4390,0.611429,0.610000,0.570476,0.600000,0.599286,0.630000,0.592857,0.660000,0.633095,0.680000,14.483398,30.637695,85.981445,108.387695,136.235352
4590,0.611364,0.610000,0.571591,0.595000,0.598182,0.575000,0.596136,0.665000,0.635682,0.690000,14.483398,28.497070,84.598633,109.629883,128.817383
4790,0.611304,0.610000,0.572174,0.585000,0.598913,0.615000,0.597826,0.635000,0.638913,0.710000,14.483398,30.418945,86.231445,104.692383,137.024414
4990,0.613958,0.675000,0.570417,0.530000,0.601250,0.655000,0.599792,0.645000,0.640000,0.665000,14.483398,34.411133,81.961914,116.458008,141.278320
5190,0.614600,0.630000,0.569800,0.555000,0.599000,0.545000,0.599600,0.595000,0.639800,0.635000,14.483398,29.020508,89.864258,108.868164,129.864258
5390,0.620385,0.765000,0.569038,0.550000,0.599423,0.610000,0.600962,0.635000,0.638846,0.615000,14.483398,35.438477,84.348633,112.891602,142.301758
5590,0.621852,0.660000,0.571296,0.630000,0.600370,0.625000,0.600000,0.575000,0.641481,0.710000,14.483398,25.922852,68.141602,103.500977,149.075195
5790,0.623214,0.660000,0.571429,0.575000,0.600000,0.590000,0.598750,0.565000,0.641429,0.640000,14.483398,25.993164,75.844727,100.762695,162.864258
5990,0.625345,0.685000,0.571897,0.585000,0.597759,0.535000,0.600862,0.660000,0.640690,0.620000,14.483398,28.301758,78.868164,94.958008,156.454102
6190,0.628167,0.710000,0.567833,0.450000,0.597833,0.600000,0.600000,0.575000,0.638000,0.560000,14.483398,27.231445,81.653320,120.954102,141.286133
