# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Mixed Generator_Mixed ' 'Generator_1000_1_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.500000,0.500000,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8.858398,15.540039,29.793945,29.793945,29.793945
390,0.500000,0.500000,0.770000,0.770000,0.925000,0.925000,0.925000,0.925000,0.925000,0.925000,8.858398,19.438477,32.215820,32.215820,32.215820
590,0.470000,0.440000,0.722500,0.675000,0.902500,0.880000,0.902500,0.880000,0.902500,0.880000,8.858398,18.622070,32.426758,32.426758,32.426758
790,0.490000,0.530000,0.740000,0.775000,0.891667,0.870000,0.903333,0.905000,0.903333,0.905000,8.858398,20.043945,37.821289,35.872070,35.872070
990,0.517500,0.600000,0.733750,0.715000,0.888750,0.880000,0.907500,0.920000,0.907500,0.920000,8.858398,19.930664,44.305664,39.981445,39.981445
1190,0.520000,0.530000,0.731000,0.720000,0.880000,0.845000,0.902000,0.880000,0.902000,0.880000,8.858398,20.684570,31.223633,35.493164,35.520508
1390,0.517500,0.505000,0.715000,0.635000,0.882500,0.895000,0.899167,0.885000,0.902500,0.905000,8.858398,21.907227,44.930664,36.125977,30.040039
1590,0.531429,0.615000,0.720714,0.755000,0.877857,0.850000,0.900000,0.905000,0.902857,0.905000,8.858398,18.305664,44.372070,38.633789,36.532227
1790,0.536250,0.570000,0.716250,0.685000,0.880000,0.895000,0.898125,0.885000,0.900625,0.885000,8.858398,21.364258,48.114258,40.657227,39.500977
1990,0.538889,0.560000,0.714444,0.700000,0.880000,0.880000,0.896667,0.885000,0.900000,0.895000,8.858398,21.231445,47.903320,41.532227,36.543945
2190,0.528500,0.435000,0.716500,0.735000,0.869000,0.770000,0.869000,0.620000,0.868000,0.580000,8.858398,22.032227,45.329102,57.458008,52.590820
2390,0.523636,0.475000,0.722273,0.780000,0.852273,0.685000,0.843182,0.585000,0.847273,0.640000,8.858398,20.711914,45.875977,55.157227,54.625977
2590,0.523750,0.525000,0.717917,0.670000,0.835417,0.650000,0.828750,0.670000,0.825000,0.580000,8.858398,22.821289,54.551758,44.125977,60.477539
2790,0.520000,0.475000,0.725385,0.815000,0.829615,0.760000,0.817308,0.680000,0.808462,0.610000,8.858398,19.629883,54.461914,58.059570,62.786133
