# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: SEAGenerator - Drift Stream: SEAGenerator - alpha: 0.0 - position: 250000 - width: 1000 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_SEA Generator_SEA ' 'Generator_1000_1000_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
200,0.800000,0.800000,0.300000,0.300000,7.920898,25.409180
390,0.765000,0.765000,0.400000,0.400000,7.920898,24.581055
590,0.752500,0.740000,0.385000,0.370000,7.920898,27.569336
790,0.746667,0.735000,0.396667,0.420000,7.920898,26.206055
990,0.747500,0.750000,0.388750,0.365000,7.920898,27.198242
1190,0.751000,0.765000,0.417000,0.530000,7.920898,27.827148
1390,0.760000,0.805000,0.434167,0.520000,7.920898,25.057617
1590,0.766429,0.805000,0.450000,0.545000,7.920898,25.350586
1790,0.761875,0.730000,0.456875,0.505000,7.920898,24.995117
1990,0.760000,0.745000,0.467222,0.550000,7.920898,26.401367
2190,0.765000,0.810000,0.468500,0.480000,7.920898,26.202148
2390,0.758636,0.695000,0.472727,0.515000,7.920898,26.334961
2590,0.757500,0.745000,0.481667,0.580000,7.920898,26.737305
2790,0.759615,0.785000,0.484615,0.520000,7.920898,26.588867
2990,0.761786,0.790000,0.484286,0.480000,7.920898,25.268555
3190,0.764667,0.805000,0.483000,0.465000,7.920898,26.245117
3390,0.761563,0.715000,0.486563,0.540000,7.920898,25.791992
3590,0.759706,0.730000,0.487647,0.505000,7.920898,27.334961
3790,0.761111,0.785000,0.482500,0.395000,7.920898,25.182617
3990,0.762368,0.785000,0.483421,0.500000,7.920898,26.401367
4190,0.762500,0.765000,0.487250,0.560000,7.920898,24.057617
4390,0.761190,0.735000,0.486190,0.465000,7.920898,27.026367
4590,0.761364,0.765000,0.484773,0.455000,7.920898,25.588867
4790,0.762391,0.785000,0.479565,0.365000,7.920898,25.893555
4990,0.762500,0.765000,0.481250,0.520000,7.920898,26.834961
5190,0.763600,0.790000,0.480800,0.470000,7.920898,25.401367
5390,0.763846,0.770000,0.480385,0.470000,7.920898,24.604492
5590,0.764444,0.780000,0.477037,0.390000,7.920898,26.467773
5790,0.765357,0.790000,0.479286,0.540000,7.920898,29.233398
5990,0.766724,0.805000,0.479310,0.480000,7.920898,26.510742
6190,0.765167,0.720000,0.478333,0.450000,7.920898,28.147461
6390,0.765484,0.775000,0.478871,0.495000,7.920898,25.893555
6590,0.765938,0.780000,0.478750,0.475000,7.920898,26.655273
6790,0.764697,0.725000,0.482121,0.590000,7.920898,26.721680
6990,0.765588,0.795000,0.486471,0.630000,7.920898,28.643555
7190,0.765286,0.755000,0.487429,0.520000,7.920898,29.440430
7390,0.767083,0.830000,0.485972,0.435000,7.920898,27.182617
7590,0.768108,0.805000,0.487027,0.525000,7.920898,25.065430
7790,0.768026,0.765000,0.487500,0.505000,7.920898,24.456055
7990,0.765769,0.680000,0.485513,0.410000,7.920898,25.096680
8190,0.766750,0.805000,0.485625,0.490000,7.920898,25.065430
8390,0.767195,0.785000,0.483659,0.405000,7.920898,25.639648
8590,0.767143,0.765000,0.481905,0.410000,7.920898,26.877930
8790,0.766628,0.745000,0.483605,0.555000,7.920898,25.545898
8990,0.766477,0.760000,0.481818,0.405000,7.920898,28.159180
9190,0.766000,0.745000,0.483333,0.550000,7.920898,26.784180
9390,0.766196,0.775000,0.482174,0.430000,7.920898,26.909180
9590,0.767766,0.840000,0.482766,0.510000,7.920898,25.518555
9790,0.767813,0.770000,0.480312,0.365000,7.920898,28.577148
9990,0.768061,0.780000,0.479082,0.420000,7.920898,27.487305
10190,0.767900,0.760000,0.477400,0.395000,7.920898,25.588867
10390,0.767647,0.755000,0.475686,0.390000,7.920898,25.893555
10590,0.768462,0.810000,0.476827,0.535000,7.920898,25.073242
10790,0.768491,0.770000,0.476132,0.440000,7.920898,23.491211
10990,0.768704,0.780000,0.473796,0.350000,7.920898,24.088867
11190,0.769091,0.790000,0.472727,0.415000,7.920898,26.385742
11390,0.769732,0.805000,0.474286,0.560000,7.920898,26.959961
11590,0.769912,0.780000,0.474123,0.465000,7.920898,26.081055
11790,0.770517,0.805000,0.473621,0.445000,7.920898,25.893555
11990,0.770847,0.790000,0.471695,0.360000,7.920898,24.760742
12190,0.771250,0.795000,0.471417,0.455000,7.920898,27.213867
12390,0.770574,0.730000,0.469918,0.380000,7.920898,25.588867
12590,0.770484,0.765000,0.468710,0.395000,7.920898,25.096680
12790,0.771111,0.810000,0.467540,0.395000,7.920898,26.721680
12990,0.771328,0.785000,0.466172,0.380000,7.920898,24.885742
13190,0.771538,0.785000,0.464385,0.350000,7.920898,26.706055
13390,0.771591,0.775000,0.464773,0.490000,7.920898,24.885742
13590,0.772090,0.805000,0.463881,0.405000,7.920898,27.518555
13790,0.772279,0.785000,0.463088,0.410000,7.920898,27.026367
13990,0.772899,0.815000,0.461957,0.385000,7.920898,24.979492
14190,0.773143,0.790000,0.461214,0.410000,7.920898,26.479492
14390,0.773873,0.825000,0.461549,0.485000,7.920898,28.159180
14590,0.774306,0.805000,0.462500,0.530000,7.920898,26.690430
14790,0.774658,0.800000,0.462603,0.470000,7.920898,26.815430
14990,0.775068,0.805000,0.462703,0.470000,7.920898,27.026367
15190,0.775733,0.825000,0.463267,0.505000,7.920898,27.987305
15390,0.775724,0.775000,0.462566,0.410000,7.920898,27.026367
15590,0.775649,0.770000,0.461558,0.385000,7.920898,26.229492
15790,0.776603,0.850000,0.460192,0.355000,7.920898,27.327148
15990,0.776266,0.750000,0.460316,0.470000,7.920898,25.893555
16190,0.777125,0.845000,0.460938,0.510000,7.920898,22.643555
16390,0.777469,0.805000,0.461605,0.515000,7.920898,27.823242
16590,0.777866,0.810000,0.462378,0.525000,7.920898,26.081055
16790,0.778554,0.835000,0.464277,0.620000,7.920898,25.893555
16990,0.779226,0.835000,0.463512,0.400000,7.920898,27.518555
17190,0.779059,0.765000,0.462706,0.395000,7.920898,23.666992
17390,0.779419,0.810000,0.463430,0.525000,7.920898,26.959961
17590,0.779253,0.765000,0.464138,0.525000,7.920898,28.002930
17790,0.779261,0.780000,0.463523,0.410000,7.920898,25.893555
17990,0.779045,0.760000,0.463764,0.485000,7.920898,24.413086
18190,0.779500,0.820000,0.463000,0.395000,7.920898,26.385742
18390,0.779890,0.815000,0.461484,0.325000,7.920898,25.893555
18590,0.780054,0.795000,0.461196,0.435000,7.920898,24.604492
18790,0.780323,0.805000,0.463763,0.700000,7.920898,25.096680
18990,0.780585,0.805000,0.464521,0.535000,7.920898,27.475586
19190,0.780895,0.810000,0.464895,0.500000,7.920898,27.284180
19390,0.781354,0.825000,0.464792,0.455000,7.920898,27.823242
19590,0.780979,0.745000,0.464175,0.405000,7.920898,26.385742
19790,0.780663,0.750000,0.463418,0.390000,7.920898,26.385742
19990,0.780859,0.800000,0.463384,0.460000,7.920898,26.877930
20190,0.780900,0.785000,0.463050,0.430000,7.920898,26.573242
20390,0.780693,0.760000,0.462426,0.400000,7.920898,24.456055
20590,0.780833,0.795000,0.462157,0.435000,7.920898,25.252930
20790,0.780874,0.785000,0.462087,0.455000,7.920898,25.284180
20990,0.780769,0.770000,0.461346,0.385000,7.920898,25.588867
21190,0.781714,0.880000,0.461286,0.455000,7.920898,25.284180
21390,0.782170,0.830000,0.460708,0.400000,7.920898,27.182617
21590,0.781963,0.760000,0.461776,0.575000,7.920898,26.510742
21790,0.782315,0.820000,0.461343,0.415000,7.920898,24.268555
21990,0.782477,0.800000,0.460872,0.410000,7.920898,25.682617
22190,0.782364,0.770000,0.461045,0.480000,7.920898,27.663086
22390,0.782748,0.825000,0.462252,0.595000,7.920898,25.065430
22590,0.782902,0.800000,0.462366,0.475000,7.920898,21.678711
22790,0.783761,0.880000,0.461726,0.390000,7.920898,27.518555
22990,0.784211,0.835000,0.461886,0.480000,7.920898,26.385742
23190,0.784304,0.795000,0.461522,0.420000,7.920898,27.213867
23390,0.784224,0.775000,0.462069,0.525000,7.920898,25.588867
23590,0.784915,0.865000,0.461496,0.395000,7.920898,26.229492
23790,0.784873,0.780000,0.461822,0.500000,7.920898,28.159180
23990,0.785084,0.810000,0.461933,0.475000,7.920898,29.627930
24190,0.785500,0.835000,0.462458,0.525000,7.920898,28.159180
24390,0.786198,0.870000,0.463347,0.570000,7.920898,26.678711
24590,0.786475,0.820000,0.462951,0.415000,7.920898,27.823242
24790,0.786748,0.820000,0.462480,0.405000,7.920898,26.385742
24990,0.787218,0.845000,0.461935,0.395000,7.920898,27.823242
25190,0.787040,0.765000,0.461880,0.455000,7.920898,27.631836
25390,0.787540,0.850000,0.462341,0.520000,7.920898,28.159180
25590,0.787874,0.830000,0.461969,0.415000,7.920898,27.182617
25790,0.788164,0.825000,0.462461,0.525000,7.920898,26.229492
25990,0.788256,0.800000,0.461705,0.365000,7.920898,25.870117
26190,0.788846,0.865000,0.462308,0.540000,7.920898,27.170898
26390,0.788969,0.805000,0.461985,0.420000,7.920898,25.870117
26590,0.789205,0.820000,0.462045,0.470000,7.920898,27.475586
26790,0.789474,0.825000,0.462895,0.575000,7.920898,27.213867
26990,0.789739,0.825000,0.463246,0.510000,7.920898,29.932617
27190,0.790037,0.830000,0.463630,0.515000,7.920898,24.245117
27390,0.790404,0.840000,0.463824,0.490000,7.920898,26.081055
27590,0.790876,0.855000,0.463686,0.445000,7.920898,26.081055
27790,0.791449,0.870000,0.463406,0.425000,7.920898,25.885742
27990,0.791763,0.835000,0.463381,0.460000,7.920898,25.588867
28190,0.791643,0.775000,0.462929,0.400000,7.920898,27.518555
28390,0.791560,0.780000,0.462234,0.365000,7.920898,28.975586
28590,0.791796,0.825000,0.462359,0.480000,7.920898,27.026367
28790,0.791958,0.815000,0.462517,0.485000,7.920898,26.081055
28990,0.792118,0.815000,0.462292,0.430000,7.920898,28.334961
29190,0.792379,0.830000,0.462862,0.545000,7.920898,28.002930
29390,0.792637,0.830000,0.463288,0.525000,7.920898,25.893555
29590,0.792653,0.795000,0.462789,0.390000,7.920898,26.877930
