# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: SEAGenerator - Drift Stream: SEAGenerator - alpha: 90.0 - position: 250000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_SEA Generator_SEA ' 'Generator_1000_1_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.700000,0.700000,0.600000,0.600000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,7.920898,19.950195,50.266602,51.504883,51.504883
390,0.765000,0.765000,0.510000,0.510000,0.575000,0.575000,0.585000,0.585000,0.585000,0.585000,7.920898,18.930664,50.125977,55.657227,55.657227
590,0.777500,0.790000,0.462500,0.415000,0.507500,0.440000,0.595000,0.605000,0.620000,0.655000,7.920898,21.727539,36.926758,46.133789,48.993164
790,0.783333,0.795000,0.431667,0.370000,0.526667,0.565000,0.570000,0.520000,0.616667,0.610000,7.920898,22.465820,47.692383,51.551758,63.727539
990,0.786250,0.795000,0.401250,0.310000,0.498750,0.415000,0.522500,0.380000,0.630000,0.670000,7.920898,22.250977,42.961914,54.512695,68.071289
1190,0.792000,0.815000,0.404000,0.415000,0.492000,0.465000,0.530000,0.560000,0.650000,0.730000,7.920898,16.926758,46.079102,57.176758,61.536133
1390,0.800833,0.845000,0.435000,0.590000,0.499167,0.535000,0.534167,0.555000,0.654167,0.675000,7.920898,19.715820,45.735352,53.446289,57.309570
1590,0.805714,0.835000,0.467143,0.660000,0.516429,0.620000,0.525000,0.470000,0.650000,0.625000,7.920898,19.700195,49.602539,52.450195,56.614258
1790,0.808750,0.830000,0.490000,0.650000,0.528125,0.610000,0.537500,0.625000,0.638750,0.560000,7.920898,19.157227,49.856445,64.079102,61.727539
1990,0.805556,0.780000,0.508889,0.660000,0.538333,0.620000,0.551111,0.660000,0.632778,0.585000,7.920898,20.004883,44.583008,55.735352,66.567383
