id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.600000,0.600000,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8.858398,15.540039,29.793945,29.793945,29.793945
390,0.510000,0.510000,0.770000,0.770000,0.925000,0.925000,0.925000,0.925000,0.925000,0.925000,8.858398,19.438477,32.215820,32.215820,32.215820
590,0.517500,0.525000,0.722500,0.675000,0.902500,0.880000,0.902500,0.880000,0.902500,0.880000,8.858398,18.622070,32.426758,32.426758,32.426758
790,0.545000,0.600000,0.740000,0.775000,0.891667,0.870000,0.903333,0.905000,0.903333,0.905000,8.858398,20.043945,37.821289,35.872070,35.872070
990,0.542500,0.535000,0.733750,0.715000,0.888750,0.880000,0.907500,0.920000,0.907500,0.920000,8.858398,19.930664,44.305664,39.981445,39.981445
1190,0.540000,0.530000,0.731000,0.720000,0.880000,0.845000,0.902000,0.880000,0.902000,0.880000,8.858398,20.684570,31.223633,35.493164,35.520508
1390,0.545000,0.570000,0.715000,0.635000,0.882500,0.895000,0.899167,0.885000,0.902500,0.905000,8.858398,21.907227,44.930664,36.125977,30.040039
1590,0.551429,0.590000,0.720714,0.755000,0.877857,0.850000,0.900000,0.905000,0.902857,0.905000,8.858398,18.305664,44.372070,38.633789,36.532227
1790,0.557500,0.600000,0.716250,0.685000,0.880000,0.895000,0.898125,0.885000,0.900625,0.885000,8.858398,21.364258,48.114258,40.657227,39.500977
1990,0.559444,0.575000,0.714444,0.700000,0.880000,0.880000,0.896667,0.885000,0.900000,0.895000,8.858398,21.231445,47.903320,41.532227,36.543945
2190,0.544000,0.405000,0.716500,0.735000,0.869000,0.770000,0.869000,0.620000,0.868000,0.580000,8.858398,22.032227,45.329102,57.458008,52.590820
2390,0.532727,0.420000,0.722273,0.780000,0.852273,0.685000,0.843182,0.585000,0.847273,0.640000,8.858398,20.711914,45.875977,55.157227,54.625977
2590,0.523750,0.425000,0.717917,0.670000,0.835417,0.650000,0.828750,0.670000,0.825000,0.580000,8.858398,22.821289,54.551758,44.125977,60.477539
2790,0.521154,0.490000,0.725385,0.815000,0.829615,0.760000,0.817308,0.680000,0.808462,0.610000,8.858398,19.629883,54.461914,58.059570,62.786133
2990,0.523929,0.560000,0.728214,0.765000,0.815714,0.635000,0.807857,0.685000,0.800357,0.695000,8.858398,20.579102,58.000977,58.461914,63.364258
3190,0.531000,0.630000,0.730000,0.755000,0.807000,0.685000,0.800667,0.700000,0.798333,0.770000,8.858398,19.110352,51.532227,57.059570,58.848633
3390,0.538750,0.655000,0.730313,0.735000,0.800625,0.705000,0.791562,0.655000,0.796562,0.770000,8.858398,21.629883,54.399414,47.122070,59.297852
3590,0.549412,0.720000,0.729412,0.715000,0.793529,0.680000,0.786765,0.710000,0.796765,0.800000,8.858398,21.836914,51.418945,55.028320,64.192383
3790,0.557222,0.690000,0.726389,0.675000,0.790000,0.730000,0.784167,0.740000,0.794722,0.760000,8.858398,20.122070,48.375977,56.434570,68.622070
3990,0.566579,0.735000,0.723684,0.675000,0.786316,0.720000,0.781316,0.730000,0.792368,0.750000,8.858398,23.333008,47.782227,54.020508,67.106445
4190,0.574000,0.715000,0.728750,0.825000,0.787000,0.800000,0.772500,0.605000,0.792500,0.795000,8.858398,21.454102,51.981445,57.665039,68.665039
4390,0.583810,0.780000,0.733571,0.830000,0.790000,0.850000,0.769762,0.715000,0.791190,0.765000,8.858398,25.844727,42.629883,47.668945,61.805664
4590,0.591136,0.745000,0.734545,0.755000,0.795682,0.915000,0.765682,0.680000,0.791364,0.795000,8.858398,21.090820,49.700195,58.934570,67.750977
4790,0.601739,0.835000,0.738696,0.830000,0.798261,0.855000,0.765870,0.770000,0.791957,0.805000,8.858398,19.719727,46.864258,58.059570,60.270508
4990,0.610000,0.800000,0.739375,0.755000,0.800417,0.850000,0.763958,0.720000,0.791042,0.770000,8.858398,23.383789,47.313477,56.079102,58.231445
5190,0.618000,0.810000,0.741400,0.790000,0.804400,0.900000,0.766600,0.830000,0.790600,0.780000,8.858398,19.196289,44.430664,60.223633,70.625977
5390,0.625385,0.810000,0.743462,0.795000,0.804231,0.800000,0.768269,0.810000,0.788462,0.735000,8.858398,20.418945,40.649414,58.379883,66.563477
5590,0.633704,0.850000,0.744259,0.765000,0.804074,0.800000,0.766852,0.730000,0.789444,0.815000,8.858398,20.442383,40.829102,60.270508,67.586914
5790,0.641250,0.845000,0.745714,0.785000,0.806071,0.860000,0.765000,0.715000,0.789464,0.790000,8.858398,26.458008,42.219727,63.145508,67.055664
5990,0.649138,0.870000,0.745172,0.730000,0.805690,0.795000,0.762931,0.705000,0.787759,0.740000,8.858398,22.168945,42.250977,60.711914,61.926758
