# TEST CONFIGURATION BEGIN
# RandomTreeGenerator(fraction_leaves_per_level=0.15, max_tree_depth=5, min_leaf_depth=3, n_cat_features=5, n_categories_per_cat_feature=5, n_classes=2, n_num_features=5, sample_random_state=None, tree_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rand_tree_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.400000,0.400000,0.600000,0.600000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,33.233398,63.844727,156.879883,156.497070,156.497070
390,0.480000,0.480000,0.530000,0.530000,0.545000,0.545000,0.485000,0.485000,0.485000,0.485000,33.233398,62.137695,164.454102,199.110352,199.110352
590,0.507500,0.535000,0.527500,0.525000,0.515000,0.485000,0.507500,0.530000,0.495000,0.505000,33.233398,65.407227,171.860352,192.688477,247.750977
790,0.520000,0.545000,0.505000,0.460000,0.516667,0.520000,0.485000,0.440000,0.495000,0.495000,33.233398,60.512695,153.758789,184.243164,243.645508
990,0.523750,0.535000,0.516250,0.550000,0.532500,0.580000,0.470000,0.425000,0.495000,0.495000,33.233398,61.102539,173.583008,179.059570,236.872070
1190,0.531000,0.560000,0.515000,0.510000,0.523000,0.485000,0.463000,0.435000,0.492000,0.480000,33.233398,62.458008,145.364258,179.696289,263.395508
1390,0.533333,0.545000,0.513333,0.505000,0.530833,0.570000,0.468333,0.495000,0.480833,0.425000,33.233398,63.684570,166.536133,188.590820,231.165039
1590,0.534286,0.540000,0.520000,0.560000,0.530714,0.530000,0.470000,0.480000,0.473571,0.430000,33.233398,61.942383,166.407227,233.336914,273.094727
1790,0.535000,0.540000,0.515625,0.485000,0.527500,0.505000,0.473750,0.500000,0.477500,0.505000,33.233398,59.086914,159.293945,230.973633,270.875977
1990,0.538889,0.570000,0.516111,0.520000,0.528333,0.535000,0.475556,0.490000,0.488889,0.580000,33.233398,59.282227,166.219727,215.891602,309.473633
2190,0.538000,0.530000,0.519000,0.545000,0.529000,0.535000,0.474500,0.465000,0.490500,0.505000,33.233398,53.493164,180.165039,212.227539,268.969727
2390,0.535000,0.505000,0.515000,0.475000,0.527727,0.515000,0.480000,0.535000,0.495000,0.540000,33.233398,50.293945,156.579102,207.700195,259.731445
2590,0.534583,0.530000,0.513750,0.500000,0.525417,0.500000,0.483333,0.520000,0.496250,0.510000,33.233398,72.356445,163.840820,226.500977,301.047852
2790,0.532692,0.510000,0.512308,0.495000,0.526923,0.545000,0.487308,0.535000,0.501154,0.560000,33.233398,55.000977,159.012695,234.278320,311.461914
2990,0.534286,0.555000,0.513929,0.535000,0.526071,0.515000,0.482500,0.420000,0.505000,0.555000,33.233398,58.571289,163.047852,214.856445,267.211914
3190,0.531333,0.490000,0.512000,0.485000,0.525333,0.515000,0.481000,0.460000,0.505667,0.515000,33.233398,57.891602,177.055664,211.790039,254.059570
