# TEST CONFIGURATION BEGIN
# RandomRBFGeneratorDrift(change_speed=0.001, model_random_state=None, n_centroids=50, n_classes=2, n_features=10, num_drift_centroids=50, sample_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rbf_if_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.600000,0.600000,0.400000,0.400000,0.500000,0.500000,0.600000,0.600000,0.600000,0.600000,14.483398,29.375977,53.750977,78.637695,78.637695
390,0.650000,0.650000,0.505000,0.505000,0.390000,0.390000,0.500000,0.500000,0.575000,0.575000,14.483398,34.766602,65.192383,93.137695,101.149414
590,0.645000,0.640000,0.567500,0.630000,0.370000,0.350000,0.467500,0.435000,0.555000,0.535000,14.483398,28.500977,59.161133,94.813477,112.985352
790,0.641667,0.635000,0.535000,0.470000,0.376667,0.390000,0.438333,0.380000,0.523333,0.460000,14.483398,35.297852,66.247070,96.266602,116.559570
990,0.640000,0.635000,0.523750,0.490000,0.365000,0.330000,0.420000,0.365000,0.492500,0.400000,14.483398,33.911133,65.750977,80.700195,110.895508
1190,0.642000,0.650000,0.551000,0.660000,0.359000,0.335000,0.401000,0.325000,0.459000,0.325000,14.483398,37.043945,54.149414,70.184570,98.122070
1390,0.651667,0.700000,0.525000,0.395000,0.350000,0.305000,0.381667,0.285000,0.430000,0.285000,14.483398,31.383789,66.043945,79.161133,91.411133
1590,0.633571,0.525000,0.544286,0.660000,0.350714,0.355000,0.377857,0.355000,0.422857,0.380000,14.483398,32.137695,68.375977,88.961914,116.512695
1790,0.628750,0.595000,0.540625,0.515000,0.346250,0.315000,0.381250,0.405000,0.415000,0.360000,14.483398,28.075195,65.727539,93.239258,119.106445
1990,0.623333,0.580000,0.524444,0.395000,0.348889,0.370000,0.380000,0.370000,0.417222,0.435000,14.483398,28.301758,64.321289,90.997070,117.739258
2190,0.619500,0.585000,0.510000,0.380000,0.352000,0.380000,0.380000,0.380000,0.415000,0.395000,14.483398,32.133789,65.579102,87.125977,115.094727
2390,0.624545,0.675000,0.492727,0.320000,0.349091,0.320000,0.374545,0.320000,0.406364,0.320000,14.483398,26.461914,75.184570,84.622070,112.262695
2590,0.618333,0.550000,0.484583,0.395000,0.349583,0.355000,0.372500,0.350000,0.401667,0.350000,14.483398,29.325195,59.852539,93.848633,120.180664
2790,0.613462,0.555000,0.480385,0.430000,0.352692,0.390000,0.372692,0.375000,0.400385,0.385000,14.483398,22.844727,76.317383,93.872070,127.848633
2990,0.611071,0.580000,0.477857,0.445000,0.355357,0.390000,0.373571,0.385000,0.399643,0.390000,14.483398,26.071289,70.262695,85.918945,109.793945
3190,0.609333,0.585000,0.474667,0.430000,0.359333,0.415000,0.372333,0.355000,0.400000,0.405000,14.483398,33.747070,74.973633,96.985352,108.524414
3390,0.604062,0.525000,0.478125,0.530000,0.360938,0.385000,0.369063,0.320000,0.401875,0.430000,14.483398,31.555664,75.340820,104.106445,124.684570
3590,0.602941,0.585000,0.477941,0.475000,0.362647,0.390000,0.370588,0.395000,0.405000,0.455000,14.483398,30.793945,91.653320,102.184570,138.168945
3790,0.598611,0.525000,0.475000,0.425000,0.363889,0.385000,0.371111,0.380000,0.403889,0.385000,14.483398,37.188477,83.102539,99.684570,131.141602
3990,0.597632,0.580000,0.475000,0.475000,0.362105,0.330000,0.368684,0.325000,0.403684,0.400000,14.483398,32.356445,83.106445,97.977539,130.438477
4190,0.597750,0.600000,0.473750,0.450000,0.365000,0.420000,0.371000,0.415000,0.404250,0.415000,14.483398,29.946289,75.340820,86.055664,126.856445
4390,0.598333,0.610000,0.467619,0.345000,0.363571,0.335000,0.369286,0.335000,0.400952,0.335000,14.483398,29.340820,81.313477,96.204102,139.610352
4590,0.600455,0.645000,0.459091,0.280000,0.359773,0.280000,0.364091,0.255000,0.395000,0.270000,14.483398,29.790039,80.653320,100.293945,107.602539
4790,0.604565,0.695000,0.455870,0.385000,0.362826,0.430000,0.364565,0.375000,0.393913,0.370000,14.483398,28.391602,80.446289,116.352539,131.758789
4990,0.602292,0.550000,0.456458,0.470000,0.364583,0.405000,0.363542,0.340000,0.391667,0.340000,14.483398,29.610352,76.895508,101.817383,124.071289
5190,0.600400,0.555000,0.456800,0.465000,0.366800,0.420000,0.363200,0.355000,0.390200,0.355000,14.483398,28.774414,87.329102,110.165039,117.168945
5390,0.598269,0.545000,0.457308,0.470000,0.369231,0.430000,0.364808,0.405000,0.390962,0.410000,14.483398,30.610352,79.809570,110.247070,114.415039
5590,0.599074,0.620000,0.465926,0.690000,0.367407,0.320000,0.362593,0.305000,0.387963,0.310000,14.483398,31.493164,70.520508,106.450195,132.372070
5790,0.599643,0.615000,0.466786,0.490000,0.372857,0.520000,0.361607,0.335000,0.385179,0.310000,14.483398,38.493164,79.293945,110.844727,140.825195
5990,0.600172,0.615000,0.461207,0.305000,0.370690,0.310000,0.359310,0.295000,0.384655,0.370000,14.483398,36.915039,92.360352,111.571289,149.286133
6190,0.597500,0.520000,0.460167,0.430000,0.374167,0.475000,0.362000,0.440000,0.388667,0.505000,14.483398,37.844727,80.879883,115.766602,120.407227
6390,0.595161,0.525000,0.460323,0.465000,0.376613,0.450000,0.363065,0.395000,0.388710,0.390000,14.483398,26.754883,78.352539,115.704102,133.598633
6590,0.594063,0.560000,0.462187,0.520000,0.381719,0.540000,0.366250,0.465000,0.388594,0.385000,14.483398,26.700195,85.508789,104.266602,149.512695
6790,0.591515,0.510000,0.460606,0.410000,0.382424,0.405000,0.374091,0.625000,0.387576,0.355000,14.483398,27.868164,86.645508,102.258789,131.344727
6990,0.591618,0.595000,0.458235,0.380000,0.383235,0.410000,0.379559,0.560000,0.385882,0.330000,14.483398,29.911133,82.977539,116.817383,130.426758
7190,0.590429,0.550000,0.458714,0.475000,0.390286,0.630000,0.384571,0.555000,0.386000,0.390000,14.483398,34.114258,72.040039,101.129883,127.915039
7390,0.590694,0.600000,0.454583,0.310000,0.392083,0.455000,0.387778,0.500000,0.384028,0.315000,14.483398,33.364258,88.610352,94.274414,134.321289
7590,0.589865,0.560000,0.459189,0.625000,0.390811,0.345000,0.389595,0.455000,0.381081,0.275000,14.483398,30.133789,83.208008,104.247070,132.442383
7790,0.587500,0.500000,0.463553,0.625000,0.391316,0.410000,0.393421,0.535000,0.379868,0.335000,14.483398,31.067383,71.743164,94.500977,132.329102
7990,0.584231,0.460000,0.464103,0.485000,0.391795,0.410000,0.398590,0.595000,0.378077,0.310000,14.483398,29.106445,73.075195,90.430664,140.950195
8190,0.582625,0.520000,0.465875,0.535000,0.393250,0.450000,0.403375,0.590000,0.378000,0.375000,14.483398,37.719727,79.415039,115.473633,144.918945
8390,0.581829,0.550000,0.468415,0.570000,0.393537,0.405000,0.405244,0.480000,0.377195,0.345000,14.483398,28.395508,77.758789,82.383789,137.219727
8590,0.580833,0.540000,0.468214,0.460000,0.392976,0.370000,0.406905,0.475000,0.376310,0.340000,14.483398,34.684570,80.040039,117.497070,132.680664
8790,0.581512,0.610000,0.468488,0.480000,0.391628,0.335000,0.405581,0.350000,0.374767,0.310000,14.483398,30.012695,85.043945,117.922852,135.418945
8990,0.581136,0.565000,0.470682,0.565000,0.391364,0.380000,0.409091,0.560000,0.373750,0.330000,14.483398,25.157227,82.098633,102.305664,122.293945
9190,0.579778,0.520000,0.471444,0.505000,0.396778,0.635000,0.414222,0.640000,0.373000,0.340000,14.483398,32.684570,67.188477,106.461914,133.915039
9390,0.579783,0.580000,0.470870,0.445000,0.402065,0.640000,0.418587,0.615000,0.372935,0.370000,14.483398,34.274414,69.497070,94.512695,130.625977
9590,0.579362,0.560000,0.469787,0.420000,0.403936,0.490000,0.423298,0.640000,0.372766,0.365000,14.483398,34.219727,80.321289,104.973633,136.286133
9790,0.578021,0.515000,0.470625,0.510000,0.403229,0.370000,0.428542,0.675000,0.372188,0.345000,14.483398,31.196289,81.590820,107.243164,141.844727
9990,0.578367,0.595000,0.472143,0.545000,0.402755,0.380000,0.429796,0.490000,0.372245,0.375000,14.483398,27.360352,84.235352,93.704102,147.395508
10190,0.577800,0.550000,0.472600,0.495000,0.402000,0.365000,0.430600,0.470000,0.371500,0.335000,14.483398,30.204102,73.383789,89.508789,127.153320
