# TEST CONFIGURATION BEGIN
# RandomRBFGeneratorDrift(change_speed=0.0001, model_random_state=None, n_centroids=50, n_classes=2, n_features=10, num_drift_centroids=50, sample_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rbf_im_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
200,0.300000,0.300000,0.400000,0.400000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,14.483398,29.454102,61.465820,61.465820,61.465820
390,0.455000,0.455000,0.485000,0.485000,0.450000,0.450000,0.590000,0.590000,0.590000,0.590000,14.483398,31.090820,73.711914,98.590820,98.590820
590,0.447500,0.440000,0.480000,0.475000,0.512500,0.575000,0.617500,0.645000,0.617500,0.645000,14.483398,33.184570,70.680664,103.508789,105.059570
790,0.465000,0.500000,0.543333,0.670000,0.473333,0.395000,0.623333,0.635000,0.618333,0.620000,14.483398,30.602539,66.586914,112.024414,108.731445
990,0.456250,0.430000,0.566250,0.635000,0.445000,0.360000,0.613750,0.585000,0.608750,0.580000,14.483398,35.508789,78.024414,113.270508,127.657227
1190,0.464000,0.495000,0.602000,0.745000,0.502000,0.730000,0.621000,0.650000,0.619000,0.660000,14.483398,36.336914,85.102539,92.520508,121.489258
1390,0.485000,0.590000,0.585833,0.505000,0.531667,0.680000,0.630833,0.680000,0.619167,0.620000,14.483398,29.176758,84.571289,88.848633,137.774414
1590,0.487143,0.500000,0.605000,0.720000,0.555714,0.700000,0.635714,0.665000,0.622857,0.645000,14.483398,31.809570,71.606445,96.641602,147.192383
1790,0.491250,0.520000,0.620625,0.730000,0.578750,0.740000,0.631875,0.605000,0.615625,0.565000,14.483398,31.118164,82.309570,93.704102,144.262695
1990,0.499444,0.565000,0.617222,0.590000,0.563333,0.440000,0.615556,0.485000,0.590556,0.390000,14.483398,30.489258,87.883789,108.903320,154.610352
2190,0.509000,0.595000,0.621000,0.655000,0.536500,0.295000,0.605500,0.515000,0.581500,0.500000,14.483398,24.145508,97.985352,119.809570,176.125977
2390,0.511818,0.540000,0.611364,0.515000,0.523636,0.395000,0.595455,0.495000,0.575000,0.510000,14.483398,24.278320,88.403320,105.719727,159.786133
2590,0.508333,0.470000,0.607083,0.560000,0.513333,0.400000,0.581250,0.425000,0.563333,0.435000,14.483398,34.340820,77.309570,106.766602,174.391602
2790,0.511923,0.555000,0.606154,0.595000,0.502692,0.375000,0.568077,0.410000,0.553846,0.440000,14.483398,32.579102,77.364258,117.926758,170.715820
2990,0.517143,0.585000,0.603571,0.570000,0.491429,0.345000,0.561071,0.470000,0.550714,0.510000,14.483398,30.063477,71.344727,106.258789,150.465820
3190,0.520667,0.570000,0.593333,0.450000,0.482667,0.360000,0.559333,0.535000,0.545667,0.475000,14.483398,35.469727,69.165039,98.344727,147.618164
3390,0.522813,0.555000,0.589688,0.535000,0.474062,0.345000,0.567813,0.695000,0.533438,0.350000,14.483398,28.368164,77.762695,103.649414,157.430664
3590,0.525294,0.565000,0.584412,0.500000,0.469118,0.390000,0.564118,0.505000,0.522059,0.340000,14.483398,29.797852,69.454102,100.290039,126.563477
3790,0.525833,0.535000,0.585833,0.610000,0.461111,0.325000,0.549722,0.305000,0.512778,0.355000,14.483398,33.977539,73.571289,98.286133,142.665039
3990,0.529737,0.600000,0.579737,0.470000,0.455526,0.355000,0.539737,0.360000,0.508158,0.425000,14.483398,27.926758,81.071289,106.157227,156.418945
4190,0.531500,0.565000,0.580750,0.600000,0.446500,0.275000,0.526500,0.275000,0.500250,0.350000,14.483398,26.040039,79.586914,94.645508,145.891602
4390,0.533571,0.575000,0.578095,0.525000,0.448810,0.495000,0.517857,0.345000,0.495000,0.390000,14.483398,31.247070,81.290039,93.680664,148.973633
4590,0.534545,0.555000,0.581136,0.645000,0.453409,0.550000,0.510227,0.350000,0.489773,0.380000,14.483398,30.594727,76.481445,103.157227,165.965820
4790,0.536739,0.585000,0.585435,0.680000,0.450652,0.390000,0.502174,0.325000,0.484783,0.375000,14.483398,31.317383,80.665039,106.418945,158.965820
4990,0.537083,0.545000,0.586458,0.610000,0.453333,0.515000,0.499167,0.430000,0.484583,0.480000,14.483398,34.067383,86.430664,99.297852,164.071289
5190,0.539800,0.605000,0.572800,0.245000,0.451800,0.415000,0.490800,0.290000,0.480800,0.390000,14.483398,29.375977,83.137695,103.778320,142.043945
5390,0.542308,0.605000,0.561923,0.290000,0.448269,0.360000,0.483462,0.300000,0.479615,0.450000,14.483398,28.313477,84.325195,104.844727,154.063477
5590,0.543889,0.585000,0.558519,0.470000,0.445370,0.370000,0.478519,0.350000,0.477407,0.420000,14.483398,28.075195,83.622070,105.403320,163.290039
5790,0.547143,0.635000,0.558214,0.550000,0.443571,0.395000,0.478393,0.475000,0.477143,0.470000,14.483398,34.762695,89.043945,107.735352,159.266602
5990,0.549310,0.610000,0.560690,0.630000,0.442241,0.405000,0.481034,0.555000,0.473103,0.360000,14.483398,32.243164,73.504883,93.766602,151.485352
6190,0.549500,0.555000,0.556500,0.435000,0.441667,0.425000,0.480833,0.475000,0.468000,0.320000,14.483398,32.168945,76.618164,99.426758,144.989258
6390,0.552742,0.650000,0.557097,0.575000,0.440323,0.400000,0.477419,0.375000,0.464032,0.345000,14.483398,35.266602,78.602539,105.723633,144.743164
6590,0.556406,0.670000,0.560937,0.680000,0.437500,0.350000,0.475000,0.400000,0.459844,0.330000,14.483398,30.477539,86.426758,110.731445,153.270508
6790,0.559091,0.645000,0.564545,0.680000,0.442121,0.590000,0.468333,0.255000,0.452727,0.225000,14.483398,26.274414,76.090820,101.512695,128.676758
6990,0.559118,0.560000,0.565000,0.580000,0.449118,0.680000,0.470000,0.525000,0.451324,0.405000,14.483398,30.739258,73.153320,105.172852,149.415039
7190,0.562286,0.670000,0.570714,0.765000,0.454857,0.650000,0.477429,0.730000,0.445571,0.250000,14.483398,30.192383,75.184570,109.743164,127.715820
7390,0.565000,0.660000,0.573472,0.670000,0.461250,0.685000,0.478056,0.500000,0.442778,0.345000,14.483398,31.981445,74.438477,104.309570,124.372070
7590,0.566081,0.605000,0.573919,0.590000,0.466622,0.660000,0.475405,0.380000,0.442568,0.435000,14.483398,24.243164,73.520508,103.391602,154.141602
7790,0.568026,0.640000,0.572500,0.520000,0.472632,0.695000,0.475789,0.490000,0.443684,0.485000,14.483398,21.993164,64.356445,115.774414,139.793945
7990,0.570513,0.665000,0.566282,0.330000,0.478846,0.715000,0.481026,0.680000,0.442308,0.390000,14.483398,35.700195,69.489258,93.153320,145.551758
8190,0.573500,0.690000,0.567000,0.595000,0.482375,0.620000,0.482875,0.555000,0.441000,0.390000,14.483398,32.770508,79.340820,100.637695,159.008789
8390,0.575244,0.645000,0.568902,0.645000,0.486951,0.670000,0.484634,0.555000,0.440732,0.430000,14.483398,29.086914,80.215820,106.500977,120.922852
8590,0.576429,0.625000,0.567262,0.500000,0.492024,0.700000,0.482143,0.380000,0.437143,0.290000,14.483398,28.161133,76.825195,86.422852,101.075195
8790,0.577093,0.605000,0.568605,0.625000,0.495698,0.650000,0.481628,0.460000,0.434302,0.315000,14.483398,31.329102,78.875977,107.860352,123.153320
8990,0.578977,0.660000,0.564773,0.400000,0.496136,0.515000,0.479432,0.385000,0.432273,0.345000,14.483398,32.809570,70.559570,94.274414,104.266602
9190,0.580333,0.640000,0.564778,0.565000,0.494333,0.415000,0.477889,0.410000,0.430444,0.350000,14.483398,26.430664,82.008789,90.969727,113.657227
9390,0.582174,0.665000,0.567283,0.680000,0.492391,0.405000,0.476739,0.425000,0.428043,0.320000,14.483398,31.458008,77.715820,92.778320,109.985352
