# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=2, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff9bf738b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_a_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
200,0.800000,0.800000,0.300000,0.300000,7.920898,25.409180
390,0.770000,0.770000,0.400000,0.400000,7.920898,24.581055
590,0.767500,0.765000,0.385000,0.370000,7.920898,27.569336
790,0.770000,0.775000,0.396667,0.420000,7.920898,26.206055
990,0.770000,0.770000,0.388750,0.365000,7.920898,27.198242
1190,0.779000,0.815000,0.417000,0.530000,7.920898,27.827148
1390,0.785833,0.820000,0.434167,0.520000,7.920898,25.057617
1590,0.792143,0.830000,0.450000,0.545000,7.920898,25.350586
1790,0.793750,0.805000,0.456875,0.505000,7.920898,24.995117
1990,0.792778,0.785000,0.467222,0.550000,7.920898,26.401367
2190,0.795000,0.815000,0.468500,0.480000,7.920898,26.202148
2390,0.788182,0.720000,0.472727,0.515000,7.920898,26.334961
2590,0.786250,0.765000,0.481667,0.580000,7.920898,26.737305
2790,0.786923,0.795000,0.484615,0.520000,7.920898,26.588867
2990,0.789643,0.825000,0.484286,0.480000,7.920898,25.268555
3190,0.791667,0.820000,0.483000,0.465000,7.920898,26.245117
3390,0.788438,0.740000,0.486563,0.540000,7.920898,25.791992
3590,0.789706,0.810000,0.487647,0.505000,7.920898,27.334961
3790,0.790556,0.805000,0.482500,0.395000,7.920898,25.182617
3990,0.789474,0.770000,0.483421,0.500000,7.920898,26.401367
4190,0.790000,0.800000,0.487250,0.560000,7.920898,24.057617
4390,0.789762,0.785000,0.486190,0.465000,7.920898,27.026367
4590,0.791818,0.835000,0.484773,0.455000,7.920898,25.588867
4790,0.792391,0.805000,0.479565,0.365000,7.920898,25.893555
4990,0.790000,0.735000,0.481250,0.520000,7.920898,26.834961
5190,0.791000,0.815000,0.480800,0.470000,7.920898,25.401367
5390,0.789808,0.760000,0.480385,0.470000,7.920898,24.604492
5590,0.790185,0.800000,0.477037,0.390000,7.920898,26.467773
5790,0.791071,0.815000,0.479286,0.540000,7.920898,29.233398
5990,0.792759,0.840000,0.479310,0.480000,7.920898,26.510742
6190,0.792000,0.770000,0.478333,0.450000,7.920898,28.147461
6390,0.791129,0.765000,0.478871,0.495000,7.920898,25.893555
6590,0.792031,0.820000,0.478750,0.475000,7.920898,26.655273
6790,0.792727,0.815000,0.482121,0.590000,7.920898,26.721680
6990,0.793824,0.830000,0.486471,0.630000,7.920898,28.643555
7190,0.793857,0.795000,0.487429,0.520000,7.920898,29.440430
7390,0.795556,0.855000,0.485972,0.435000,7.920898,27.182617
7590,0.796622,0.835000,0.487027,0.525000,7.920898,25.065430
7790,0.797763,0.840000,0.487500,0.505000,7.920898,24.456055
7990,0.796410,0.745000,0.485513,0.410000,7.920898,25.096680
8190,0.797000,0.820000,0.485625,0.490000,7.920898,25.065430
8390,0.796951,0.795000,0.483659,0.405000,7.920898,25.639648
8590,0.796786,0.790000,0.481905,0.410000,7.920898,26.877930
8790,0.795581,0.745000,0.483605,0.555000,7.920898,25.545898
8990,0.795000,0.770000,0.481818,0.405000,7.920898,28.159180
9190,0.795444,0.815000,0.483333,0.550000,7.920898,26.784180
9390,0.795109,0.780000,0.482174,0.430000,7.920898,26.909180
9590,0.796277,0.850000,0.482766,0.510000,7.920898,25.518555
9790,0.796042,0.785000,0.480312,0.365000,7.920898,28.577148
9990,0.795714,0.780000,0.479082,0.420000,7.920898,27.487305
