id,mean_acc_[KSWIN],current_acc_[KSWIN],mean_acc_[ADWIN],current_acc_[ADWIN],mean_acc_[MEBWIND],current_acc_[MEBWIND],mean_acc_[K-MEBWIND],current_acc_[K-MEBWIND],model_size_[KSWIN],model_size_[ADWIN],model_size_[MEBWIND],model_size_[K-MEBWIND]
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,284.033203,359.227539,428.659180,416.853516
399,0.650000,0.650000,0.835000,0.835000,0.910000,0.910000,0.940000,0.940000,276.095703,404.340820,523.569336,421.935547
599,0.725000,0.800000,0.805000,0.775000,0.890000,0.870000,0.917500,0.895000,288.232422,404.340820,528.831055,421.728516
799,0.701667,0.655000,0.790000,0.760000,0.886667,0.880000,0.921667,0.930000,278.037109,423.348633,500.135742,417.638672
999,0.708750,0.730000,0.788750,0.785000,0.892500,0.910000,0.923750,0.930000,287.373047,445.590820,491.202148,407.017578
1199,0.720000,0.765000,0.787000,0.780000,0.897000,0.915000,0.929000,0.950000,282.099609,445.590820,534.983398,347.693359
1399,0.715000,0.690000,0.785000,0.775000,0.890833,0.860000,0.923333,0.895000,288.310547,486.809570,537.084961,400.736328
1599,0.727143,0.800000,0.790714,0.825000,0.893571,0.910000,0.920714,0.905000,283.896484,464.567383,501.709961,420.900391
1799,0.734375,0.785000,0.788125,0.770000,0.896250,0.915000,0.920625,0.920000,287.099609,486.836914,532.100586,378.189453
1999,0.742778,0.810000,0.789444,0.800000,0.898889,0.920000,0.921111,0.925000,289.599609,486.836914,517.827148,392.716797
2199,0.744500,0.760000,0.792000,0.815000,0.899500,0.905000,0.918000,0.890000,292.412109,486.836914,487.698242,384.748047
2399,0.738636,0.680000,0.790455,0.775000,0.892273,0.820000,0.916818,0.905000,271.591797,464.594727,492.088867,392.982422
2599,0.735000,0.695000,0.788750,0.770000,0.894583,0.920000,0.915833,0.905000,273.623047,528.086914,503.807617,392.533203
2799,0.735385,0.740000,0.788462,0.785000,0.894231,0.890000,0.915385,0.910000,288.701172,528.086914,514.209961,360.056641
2999,0.736786,0.755000,0.790714,0.820000,0.894286,0.895000,0.913929,0.895000,279.240234,528.086914,493.405273,379.013672
3199,0.737000,0.740000,0.787333,0.740000,0.892000,0.860000,0.911667,0.880000,285.615234,505.844727,528.815430,394.806641
3399,0.738437,0.760000,0.787813,0.795000,0.893125,0.910000,0.911875,0.915000,289.052734,528.086914,545.893555,397.939453
3599,0.737647,0.725000,0.787647,0.785000,0.893824,0.905000,0.913529,0.940000,285.498047,528.086914,496.268555,394.767578
3799,0.738056,0.745000,0.787222,0.780000,0.892500,0.870000,0.910556,0.860000,292.021484,528.086914,520.846680,417.525391
3999,0.737105,0.720000,0.788421,0.810000,0.896053,0.960000,0.913947,0.975000,282.802734,505.844727,517.631836,395.037109
4199,0.742250,0.840000,0.789500,0.810000,0.896250,0.900000,0.914500,0.925000,291.240234,528.086914,532.260742,379.068359
4399,0.741905,0.735000,0.789524,0.790000,0.896667,0.905000,0.915476,0.935000,282.724609,528.086914,511.846680,377.271484
