id,mean_acc_[KSWIN],current_acc_[KSWIN],mean_acc_[ADWIN],current_acc_[ADWIN],mean_acc_[MEBWIND],current_acc_[MEBWIND],mean_acc_[K-MEBWIND],current_acc_[K-MEBWIND],model_size_[KSWIN],model_size_[ADWIN],model_size_[MEBWIND],model_size_[K-MEBWIND]
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1127.244141,1448.192383,1353.569336,1201.158203
399,0.560000,0.560000,0.785000,0.785000,0.895000,0.895000,0.890000,0.890000,1167.001953,1634.543945,1510.311523,1184.365234
599,0.582500,0.605000,0.797500,0.810000,0.902500,0.910000,0.907500,0.925000,1127.458984,1634.543945,1480.108398,1137.861328
799,0.586667,0.595000,0.798333,0.800000,0.891667,0.870000,0.916667,0.935000,1168.865234,1714.489258,1463.073242,1197.955078
999,0.578750,0.555000,0.796250,0.790000,0.901250,0.930000,0.930000,0.970000,1099.880859,1804.700195,1328.252930,1151.912109
1199,0.591000,0.640000,0.797000,0.800000,0.890000,0.845000,0.918000,0.870000,1014.814453,1804.700195,1350.893555,1150.287109
1399,0.599167,0.640000,0.793333,0.775000,0.892500,0.905000,0.913333,0.890000,1010.244141,1974.825195,1489.940430,1143.904297
1599,0.601429,0.615000,0.789286,0.765000,0.888571,0.865000,0.918571,0.950000,1066.533203,1884.614258,1444.295898,1135.580078
1799,0.593125,0.535000,0.784375,0.750000,0.893750,0.930000,0.919375,0.925000,1048.201172,1974.825195,1422.612305,1203.435547
1999,0.586111,0.530000,0.783889,0.780000,0.893333,0.890000,0.917222,0.900000,1120.115234,1974.825195,1555.881836,1312.630859
2199,0.594000,0.665000,0.783000,0.775000,0.892000,0.880000,0.917500,0.920000,1040.751953,1974.825195,1599.377930,1129.490234
2399,0.588636,0.535000,0.784545,0.800000,0.894091,0.915000,0.919545,0.940000,1132.373047,1884.614258,1524.811523,1176.533203
2599,0.585417,0.550000,0.786250,0.805000,0.897083,0.930000,0.922083,0.950000,1057.021484,2144.981445,1547.499023,1240.029297
2799,0.593462,0.690000,0.786538,0.790000,0.895000,0.870000,0.921154,0.910000,1170.623047,2144.981445,1477.588867,1143.498047
2999,0.595714,0.625000,0.784286,0.755000,0.896786,0.920000,0.920714,0.915000,1070.732422,2144.981445,1514.077148,1194.068359
3199,0.599000,0.645000,0.783000,0.765000,0.899000,0.930000,0.917667,0.875000,1176.130859,2054.770508,1552.788086,1183.486328
3399,0.602187,0.650000,0.781563,0.760000,0.896875,0.865000,0.915937,0.890000,1067.998047,2144.981445,1540.659180,973.638672
3599,0.598529,0.540000,0.780588,0.765000,0.897353,0.905000,0.917059,0.935000,952.236328,2144.981445,1396.663086,1216.005859
