id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
200,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.233398,162.100586,695.565430,22.476562,116.074219
399,0.240000,0.240000,0.415000,0.415000,0.580000,0.580000,0.130000,0.130000,0.150000,0.150000,129.233398,162.182617,1102.327148,22.476562,108.402344
599,0.210000,0.180000,0.425000,0.435000,0.547500,0.515000,0.137500,0.145000,0.152500,0.155000,129.233398,161.815430,1378.022461,22.476562,87.656250
799,0.228333,0.265000,0.443333,0.480000,0.556667,0.575000,0.136667,0.135000,0.168333,0.200000,126.670898,162.428711,1602.791992,22.476562,80.082031
999,0.226250,0.220000,0.456250,0.495000,0.567500,0.600000,0.138750,0.145000,0.161250,0.140000,126.702148,162.928711,1753.788086,22.476562,76.632812
1199,0.224000,0.215000,0.437000,0.360000,0.567000,0.565000,0.133000,0.110000,0.171000,0.210000,127.983398,162.928711,1868.682617,22.476562,75.707031
1399,0.227500,0.245000,0.435833,0.430000,0.567500,0.570000,0.139167,0.170000,0.165833,0.140000,127.983398,162.315430,1883.319336,22.476562,81.386719
1599,0.223571,0.200000,0.435000,0.430000,0.565000,0.550000,0.139286,0.140000,0.154286,0.085000,127.983398,162.288086,2010.432617,22.476562,82.941406
1799,0.224375,0.230000,0.439375,0.470000,0.568125,0.590000,0.144375,0.180000,0.151250,0.130000,127.983398,162.452148,2093.819336,22.476562,88.527344
1999,0.231667,0.290000,0.437778,0.425000,0.571667,0.600000,0.148889,0.185000,0.149444,0.135000,126.733398,162.202148,2226.006836,22.476562,88.656250
2199,0.237500,0.290000,0.442000,0.480000,0.571000,0.565000,0.144000,0.100000,0.156000,0.215000,126.733398,162.729492,2279.256836,22.476562,85.847656
2399,0.240909,0.275000,0.446818,0.495000,0.573636,0.600000,0.141818,0.120000,0.155455,0.150000,129.233398,162.729492,2243.643555,22.476562,91.769531
2599,0.242500,0.260000,0.449167,0.475000,0.572917,0.565000,0.141250,0.135000,0.155833,0.160000,127.983398,161.971680,2359.252930,22.476562,93.910156
2799,0.244231,0.265000,0.449231,0.450000,0.570769,0.545000,0.141538,0.145000,0.153462,0.125000,127.983398,163.858398,2388.870117,22.476562,78.601562
2999,0.246429,0.275000,0.448571,0.440000,0.571786,0.585000,0.142143,0.150000,0.154286,0.165000,127.983398,163.577148,2337.030273,22.476562,79.050781
3199,0.247333,0.260000,0.447667,0.435000,0.570667,0.555000,0.141000,0.125000,0.154667,0.160000,127.983398,162.295898,2374.928711,22.476562,90.246094
3399,0.246250,0.230000,0.447188,0.440000,0.569375,0.550000,0.139687,0.120000,0.157500,0.200000,126.733398,163.577148,2353.600586,22.476562,100.582031
3599,0.247059,0.260000,0.444412,0.400000,0.567059,0.530000,0.139118,0.130000,0.155294,0.120000,127.952148,162.936523,2339.698242,22.476562,76.394531
3799,0.248056,0.265000,0.446667,0.485000,0.566111,0.550000,0.138889,0.135000,0.157500,0.195000,127.483398,163.913086,2435.409180,22.476562,95.539062
