id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
200,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,49.545898,130.616211,469.659180,18.945312,68.636719
399,0.175000,0.175000,1.000000,1.000000,1.000000,1.000000,0.250000,0.250000,0.845000,0.845000,49.545898,130.643555,488.803711,19.289062,67.324219
599,0.170000,0.165000,1.000000,1.000000,1.000000,1.000000,0.277500,0.305000,0.600000,0.355000,49.545898,130.807617,488.967773,19.289062,65.109375
799,0.183333,0.210000,1.000000,1.000000,1.000000,1.000000,0.270000,0.255000,0.640000,0.720000,49.545898,130.916992,489.077148,19.289062,65.128906
999,0.196250,0.235000,1.000000,1.000000,1.000000,1.000000,0.271250,0.275000,0.665000,0.740000,49.545898,130.999023,489.268555,19.289062,63.285156
1199,0.227000,0.350000,1.000000,1.000000,1.000000,1.000000,0.272000,0.275000,0.683000,0.755000,49.545898,130.971680,489.131836,19.289062,62.812500
1399,0.243333,0.325000,1.000000,1.000000,1.000000,1.000000,0.275000,0.290000,0.700833,0.790000,49.545898,131.163086,489.377930,19.289062,73.289062
1599,0.275000,0.465000,1.000000,1.000000,1.000000,1.000000,0.272143,0.255000,0.710000,0.765000,49.545898,131.272461,489.432617,18.945312,58.734375
1799,0.310000,0.555000,1.000000,1.000000,1.000000,1.000000,0.273125,0.280000,0.722500,0.810000,49.545898,131.026367,489.377930,19.289062,66.621094
1999,0.338889,0.570000,1.000000,1.000000,1.000000,1.000000,0.270556,0.250000,0.710000,0.610000,49.545898,131.217773,489.459961,19.289062,59.304688
2199,0.366000,0.610000,1.000000,1.000000,1.000000,1.000000,0.269500,0.260000,0.701500,0.625000,49.545898,131.190430,489.432617,18.945312,65.089844
2399,0.376818,0.485000,1.000000,1.000000,1.000000,1.000000,0.269545,0.270000,0.706364,0.755000,49.545898,131.245117,489.432617,19.289062,62.070312
2599,0.393333,0.575000,1.000000,1.000000,1.000000,1.000000,0.272083,0.300000,0.714167,0.800000,49.545898,131.655273,490.225586,18.945312,57.773438
2799,0.404231,0.535000,1.000000,1.000000,1.000000,1.000000,0.271538,0.265000,0.709615,0.655000,49.545898,132.038086,491.401367,19.289062,57.156250
2999,0.422500,0.660000,1.000000,1.000000,1.000000,1.000000,0.271786,0.275000,0.681429,0.315000,49.545898,132.038086,491.428711,19.289062,63.843750
3199,0.434333,0.600000,1.000000,1.000000,1.000000,1.000000,0.272000,0.275000,0.682000,0.690000,49.545898,132.038086,491.428711,18.945312,57.117188
3399,0.448437,0.660000,1.000000,1.000000,1.000000,1.000000,0.271562,0.265000,0.679375,0.640000,49.545898,132.038086,491.428711,19.289062,59.945312
3599,0.470588,0.825000,1.000000,1.000000,1.000000,1.000000,0.269118,0.230000,0.678529,0.665000,49.545898,132.038086,491.428711,19.289062,63.582031
3799,0.496667,0.940000,1.000000,1.000000,1.000000,1.000000,0.269167,0.270000,0.679167,0.690000,49.545898,132.038086,491.428711,19.289062,60.644531
3999,0.519474,0.930000,1.000000,1.000000,1.000000,1.000000,0.268421,0.255000,0.665789,0.425000,49.545898,132.038086,491.428711,19.289062,71.527344
4199,0.538500,0.900000,1.000000,1.000000,1.000000,1.000000,0.269000,0.280000,0.658000,0.510000,49.545898,132.038086,491.428711,19.289062,65.136719
4399,0.558095,0.950000,1.000000,1.000000,1.000000,1.000000,0.270000,0.290000,0.659762,0.695000,49.545898,132.038086,491.428711,19.289062,71.117188
4599,0.576818,0.970000,1.000000,1.000000,1.000000,1.000000,0.269318,0.255000,0.659318,0.650000,49.545898,132.038086,491.428711,19.289062,68.218750
4799,0.595217,1.000000,1.000000,1.000000,1.000000,1.000000,0.268913,0.260000,0.666739,0.830000,49.545898,132.038086,491.428711,19.289062,57.363281
4999,0.612083,1.000000,1.000000,1.000000,1.000000,1.000000,0.268542,0.260000,0.660417,0.515000,49.545898,132.038086,491.428711,19.289062,59.351562
5199,0.627600,1.000000,1.000000,1.000000,1.000000,1.000000,0.269800,0.300000,0.657200,0.580000,49.545898,132.038086,491.428711,18.945312,70.253906
5399,0.641923,1.000000,1.000000,1.000000,1.000000,1.000000,0.269615,0.265000,0.663269,0.815000,49.545898,132.038086,491.428711,19.289062,49.066406
5599,0.655185,1.000000,1.000000,1.000000,1.000000,1.000000,0.268704,0.245000,0.661296,0.610000,49.545898,132.038086,491.428711,19.289062,69.515625
5799,0.667500,1.000000,1.000000,1.000000,1.000000,1.000000,0.267857,0.245000,0.662857,0.705000,49.545898,132.038086,491.428711,19.289062,70.640625
5999,0.678966,1.000000,1.000000,1.000000,1.000000,1.000000,0.266897,0.240000,0.658448,0.535000,49.545898,132.038086,491.428711,19.289062,74.765625
6199,0.689667,1.000000,1.000000,1.000000,1.000000,1.000000,0.266500,0.255000,0.651167,0.440000,49.545898,132.038086,491.428711,19.289062,63.558594
6399,0.699677,1.000000,1.000000,1.000000,1.000000,1.000000,0.265968,0.250000,0.649355,0.595000,49.545898,132.038086,491.428711,18.945312,77.691406
6599,0.709063,1.000000,1.000000,1.000000,1.000000,1.000000,0.265625,0.255000,0.647188,0.580000,49.545898,132.038086,491.428711,19.289062,53.941406
