# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.001, n_drift_features=2, n_features=10, noise_percentage=0.1, random_state=None, sigma_percentage=0.1)
# [hat] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [rslvq] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [rrslvq] RSLVQ
# [adf] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingADWINClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5), n_estimators=10, random_state=None)
# [samknn] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='Hyperplane Generator_time_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
200,0.800000,0.800000,0.700000,0.700000,0.500000,0.500000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.025535,0.000647,0.026182,0.071882,0.000246,0.072129,0.084386,0.000234,0.084620,0.698684,0.002038,0.700722,0.040619,0.001182,0.041801,0.015086,0.000220,0.015306
390,0.890000,0.890000,0.715000,0.715000,0.455000,0.455000,0.755000,0.755000,0.820000,0.820000,0.780000,0.780000,0.052313,0.011913,0.064226,0.137521,0.004934,0.142455,0.230338,0.004683,0.235021,1.343629,0.051985,1.395614,0.115613,0.039415,0.155028,0.046812,0.009104,0.055916
590,0.895000,0.900000,0.752500,0.790000,0.527500,0.600000,0.750000,0.745000,0.802500,0.785000,0.780000,0.780000,0.081296,0.024028,0.105324,0.204557,0.009845,0.214401,0.436733,0.009406,0.446138,2.018806,0.107325,2.126131,0.210706,0.088503,0.299210,0.088399,0.022279,0.110678
790,0.875000,0.835000,0.756667,0.765000,0.618333,0.800000,0.755000,0.765000,0.805000,0.810000,0.780000,0.780000,0.114437,0.036565,0.151002,0.273895,0.014801,0.288696,0.642351,0.014121,0.656472,2.719611,0.168260,2.887871,0.316100,0.147396,0.463496,0.139178,0.038848,0.178026
990,0.862500,0.825000,0.757500,0.760000,0.661250,0.790000,0.742500,0.705000,0.790000,0.745000,0.777500,0.770000,0.144277,0.048920,0.193197,0.342724,0.019719,0.362443,0.855705,0.018829,0.874535,3.433127,0.230932,3.664059,0.432183,0.212251,0.644435,0.195013,0.058831,0.253844
1190,0.864000,0.870000,0.763000,0.785000,0.684000,0.775000,0.740000,0.730000,0.787000,0.775000,0.775000,0.765000,0.173971,0.061037,0.235008,0.410909,0.024686,0.435595,1.057701,0.023545,1.081246,4.164858,0.292647,4.457505,0.563496,0.286262,0.849758,0.258505,0.081595,0.340100
1390,0.862500,0.855000,0.765833,0.780000,0.709167,0.835000,0.746667,0.780000,0.782500,0.760000,0.768333,0.735000,0.207023,0.073395,0.280418,0.480477,0.029795,0.510272,1.271119,0.028327,1.299446,4.878569,0.353544,5.232114,0.713183,0.369500,1.082683,0.330038,0.107430,0.437468
1590,0.857857,0.830000,0.764286,0.755000,0.726429,0.830000,0.743571,0.725000,0.775000,0.730000,0.767857,0.765000,0.239184,0.085717,0.324901,0.553819,0.034761,0.588580,1.497771,0.033101,1.530872,5.657314,0.414986,6.072300,0.870320,0.457955,1.328275,0.405945,0.136688,0.542633
1790,0.860000,0.875000,0.774375,0.845000,0.743125,0.860000,0.749375,0.790000,0.776875,0.790000,0.770625,0.790000,0.285344,0.102235,0.387579,0.647114,0.040082,0.687196,1.752442,0.038474,1.790916,6.637724,0.489493,7.127216,1.112004,0.582892,1.694896,0.514953,0.169620,0.684573
1990,0.861111,0.870000,0.773889,0.770000,0.752222,0.825000,0.748889,0.745000,0.776111,0.770000,0.773333,0.795000,0.317753,0.116019,0.433773,0.723250,0.049451,0.772701,1.975033,0.043452,2.018485,7.476966,0.564257,8.041223,1.275600,0.678705,1.954305,0.560100,0.183807,0.743906
