# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=MIXEDGenerator(balance_classes=False, classification_function=1, random_state=112), position=2000, random_state=112, stream=MIXEDGenerator(balance_classes=False, classification_function=0, random_state=112), width=1)
# [hat] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [rslvq] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [rrslvq] RSLVQ
# [adf] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingADWINClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5), n_estimators=10, random_state=None)
# [samknn] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mixed_a_time_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
200,0.800000,0.800000,1.000000,1.000000,0.400000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.015028,0.000385,0.015413,0.068692,0.000245,0.068936,0.095405,0.000251,0.095656,0.435291,0.001998,0.437289,0.043311,0.001231,0.044542,0.014943,0.000201,0.015144
390,0.870000,0.870000,0.870000,0.870000,0.535000,0.535000,0.945000,0.945000,0.955000,0.955000,0.970000,0.970000,0.030678,0.007665,0.038344,0.133204,0.004951,0.138156,0.217952,0.004815,0.222766,0.806823,0.044308,0.851131,0.119021,0.038595,0.157616,0.040824,0.004283,0.045107
590,0.877500,0.885000,0.865000,0.860000,0.517500,0.500000,0.922500,0.900000,0.967500,0.980000,0.972500,0.975000,0.047168,0.015427,0.062595,0.200447,0.009919,0.210366,0.371983,0.009572,0.381555,1.190419,0.088476,1.278895,0.217372,0.087454,0.304826,0.077751,0.008963,0.086714
790,0.883333,0.895000,0.861667,0.855000,0.515000,0.510000,0.925000,0.930000,0.966667,0.965000,0.968333,0.960000,0.065643,0.023170,0.088813,0.268207,0.014903,0.283110,0.527280,0.014425,0.541705,1.552129,0.133159,1.685288,0.322419,0.147468,0.469887,0.135093,0.015851,0.150943
990,0.892500,0.920000,0.868750,0.890000,0.535000,0.595000,0.937500,0.975000,0.972500,0.990000,0.972500,0.985000,0.082958,0.031224,0.114181,0.335528,0.019920,0.355448,0.683295,0.019264,0.702559,1.939509,0.179118,2.118627,0.450707,0.222907,0.673614,0.193392,0.032485,0.225877
1190,0.895000,0.905000,0.860000,0.825000,0.549000,0.605000,0.938000,0.940000,0.968000,0.950000,0.971000,0.965000,0.101673,0.039078,0.140751,0.404112,0.024885,0.428998,0.839236,0.024121,0.863357,2.388638,0.226461,2.615099,0.595663,0.305662,0.901324,0.251410,0.052302,0.303712
1390,0.899167,0.920000,0.859167,0.855000,0.567500,0.660000,0.941667,0.960000,0.966667,0.960000,0.970833,0.970000,0.118919,0.046878,0.165797,0.471367,0.029863,0.501230,0.994414,0.028873,1.023287,2.826365,0.275139,3.101503,0.740561,0.397791,1.138352,0.317111,0.075570,0.392681
1590,0.900000,0.905000,0.860000,0.865000,0.577857,0.640000,0.947143,0.980000,0.967143,0.970000,0.972857,0.985000,0.136813,0.054680,0.191493,0.538885,0.034839,0.573724,1.149708,0.033672,1.183380,3.240873,0.323085,3.563959,0.901689,0.491792,1.393481,0.387933,0.101305,0.489237
1790,0.902500,0.920000,0.861250,0.870000,0.595000,0.715000,0.949375,0.965000,0.967500,0.970000,0.973125,0.975000,0.155889,0.062636,0.218524,0.606982,0.039891,0.646873,1.307152,0.038455,1.345607,3.650193,0.370977,4.021171,1.064364,0.587973,1.652337,0.466276,0.130178,0.596453
1990,0.900000,0.880000,0.860000,0.850000,0.608333,0.715000,0.952778,0.980000,0.968889,0.980000,0.973889,0.980000,0.173853,0.070722,0.244574,0.683171,0.045145,0.728316,1.468393,0.043589,1.511981,4.079650,0.421707,4.501357,1.230451,0.685248,1.915699,0.554794,0.162833,0.717627
2190,0.819500,0.095000,0.837500,0.635000,0.622000,0.745000,0.908000,0.505000,0.876000,0.040000,0.887500,0.110000,0.193813,0.078863,0.272676,0.758097,0.050215,0.808312,1.615510,0.048451,1.663962,4.672411,0.477235,5.149646,1.405945,0.786296,2.192240,0.649083,0.196293,0.845375
2390,0.749545,0.050000,0.830455,0.760000,0.645455,0.880000,0.910000,0.930000,0.808636,0.135000,0.895455,0.975000,0.227262,0.087813,0.315075,0.865509,0.056161,0.921670,1.802431,0.053302,1.855733,5.298223,0.536755,5.834978,1.636727,0.928815,2.565542,0.704722,0.211186,0.915909
2590,0.721667,0.415000,0.829583,0.820000,0.662917,0.855000,0.909167,0.900000,0.781250,0.480000,0.900833,0.960000,0.246926,0.095511,0.342437,0.939697,0.061320,1.001016,1.962175,0.058096,2.020271,5.768276,0.585872,6.354148,1.818074,1.026970,2.845044,0.754882,0.227137,0.982019
2790,0.734231,0.885000,0.830385,0.840000,0.681154,0.900000,0.911538,0.940000,0.784615,0.825000,0.905769,0.965000,0.271014,0.103295,0.374309,1.014862,0.066672,1.081534,2.137747,0.062958,2.200705,6.236076,0.651968,6.888044,2.020258,1.133067,3.153324,0.821746,0.246526,1.068272
2990,0.744643,0.880000,0.829286,0.815000,0.697857,0.915000,0.914643,0.955000,0.797143,0.960000,0.911429,0.985000,0.295668,0.108854,0.404523,1.084716,0.071670,1.156385,2.293249,0.067750,2.360999,6.647001,0.699146,7.346147,2.170884,1.219738,3.390622,0.892020,0.267794,1.159814
3190,0.753667,0.880000,0.827333,0.800000,0.711000,0.895000,0.916333,0.940000,0.807667,0.955000,0.914667,0.960000,0.322774,0.114573,0.437346,1.153131,0.076669,1.229800,2.447133,0.072902,2.520035,7.028924,0.747814,7.776737,2.320452,1.299959,3.620411,0.960965,0.292712,1.253677
3390,0.764062,0.920000,0.828438,0.845000,0.723437,0.910000,0.919375,0.965000,0.817813,0.970000,0.919063,0.985000,0.351668,0.120463,0.472130,1.230129,0.081668,1.311797,2.604244,0.077661,2.681905,7.440215,0.797778,8.237993,2.480177,1.386726,3.866903,1.033081,0.319985,1.353066
3590,0.771471,0.890000,0.830294,0.860000,0.733529,0.895000,0.921765,0.960000,0.826471,0.965000,0.922941,0.985000,0.381016,0.126128,0.507144,1.299203,0.086916,1.386119,2.760085,0.082491,2.842576,7.840605,0.845875,8.686480,2.619003,1.468735,4.087738,1.113436,0.350237,1.463674
3790,0.780000,0.925000,0.833333,0.885000,0.742500,0.895000,0.923611,0.955000,0.834444,0.970000,0.926667,0.990000,0.410670,0.131358,0.542028,1.366080,0.091897,1.457977,2.914695,0.087249,3.001944,8.239662,0.893562,9.133224,2.761987,1.549402,4.311389,1.197457,0.383139,1.580596
3990,0.786053,0.895000,0.835263,0.870000,0.750000,0.885000,0.925000,0.950000,0.842368,0.985000,0.929474,0.980000,0.442123,0.136978,0.579101,1.435609,0.096907,1.532516,3.073436,0.091994,3.165430,8.643086,0.942977,9.586063,2.907916,1.634345,4.542261,1.290882,0.420193,1.711075
4190,0.794250,0.950000,0.836000,0.850000,0.759000,0.930000,0.927750,0.980000,0.849500,0.985000,0.933000,1.000000,0.474752,0.142716,0.617469,1.504838,0.101846,1.606685,3.230934,0.096841,3.327775,9.046814,0.992047,10.038860,3.058099,1.720367,4.778466,1.388133,0.460097,1.848230
4390,0.801190,0.940000,0.838571,0.890000,0.764286,0.870000,0.929762,0.970000,0.855714,0.980000,0.935476,0.985000,0.508262,0.148275,0.656537,1.571859,0.106842,1.678701,3.379667,0.101714,3.481381,9.441459,1.039407,10.480867,3.206247,1.805925,5.012172,1.501652,0.502340,2.003992
