# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=MIXEDGenerator(balance_classes=False, classification_function=1, random_state=112), position=2000, random_state=112, stream=MIXEDGenerator(balance_classes=False, classification_function=0, random_state=112), width=1)
# [hat] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [rslvq] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [rrslvq] RSLVQ
# [adf] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingADWINClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5), n_estimators=10, random_state=None)
# [samknn] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mixed_g_time_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
200,0.900000,0.900000,0.700000,0.700000,0.400000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.015109,0.000390,0.015499,0.072536,0.000248,0.072784,0.096501,0.000241,0.096742,0.439252,0.002343,0.441595,0.061889,0.002112,0.064001,0.015105,0.000213,0.015318
390,0.855000,0.855000,0.815000,0.815000,0.535000,0.535000,0.960000,0.960000,0.970000,0.970000,0.970000,0.970000,0.030741,0.007679,0.038420,0.137941,0.005005,0.142946,0.220224,0.004858,0.225082,0.801570,0.044028,0.845597,0.146997,0.048211,0.195208,0.041730,0.004421,0.046152
590,0.870000,0.885000,0.830000,0.845000,0.517500,0.500000,0.935000,0.910000,0.975000,0.980000,0.972500,0.975000,0.048714,0.015431,0.064145,0.206132,0.010042,0.216175,0.376330,0.009713,0.386044,1.179866,0.090380,1.270246,0.254243,0.109934,0.364177,0.079116,0.009139,0.088255
790,0.883333,0.910000,0.843333,0.870000,0.593333,0.745000,0.938333,0.945000,0.971667,0.965000,0.968333,0.960000,0.066106,0.023240,0.089347,0.273955,0.015059,0.289014,0.520375,0.014596,0.534971,1.549188,0.136216,1.685404,0.374713,0.183286,0.557999,0.137327,0.016224,0.153551
990,0.896250,0.935000,0.857500,0.900000,0.642500,0.790000,0.946250,0.970000,0.976250,0.990000,0.972500,0.985000,0.083608,0.031346,0.114954,0.342505,0.020126,0.362631,0.671547,0.019487,0.691034,1.949374,0.184782,2.134156,0.517073,0.268554,0.785627,0.196555,0.033164,0.229719
1190,0.895000,0.890000,0.849000,0.815000,0.663000,0.745000,0.946000,0.945000,0.972000,0.955000,0.971000,0.965000,0.102386,0.039257,0.141643,0.411750,0.025283,0.437033,0.828153,0.024473,0.852626,2.357156,0.233997,2.591153,0.667421,0.356295,1.023717,0.254537,0.053025,0.307562
1390,0.899167,0.920000,0.856667,0.895000,0.680833,0.770000,0.947500,0.955000,0.970833,0.965000,0.970833,0.970000,0.119734,0.047057,0.166791,0.480691,0.030391,0.511082,0.984010,0.029395,1.013406,2.761652,0.282744,3.044396,0.815250,0.446288,1.261539,0.320228,0.075966,0.396194
1590,0.900000,0.905000,0.860714,0.885000,0.702143,0.830000,0.949286,0.960000,0.971429,0.975000,0.972857,0.985000,0.137679,0.054876,0.192555,0.549211,0.035424,0.584635,1.140513,0.034317,1.174830,3.162084,0.331064,3.493148,0.963649,0.537889,1.501538,0.393438,0.101988,0.495426
1790,0.901875,0.915000,0.859375,0.850000,0.722500,0.865000,0.950625,0.960000,0.971875,0.975000,0.973125,0.975000,0.156752,0.062778,0.219530,0.619714,0.040468,0.660182,1.298820,0.039236,1.338056,3.567646,0.379687,3.947333,1.117430,0.631804,1.749234,0.474167,0.131810,0.605977
1990,0.900556,0.890000,0.861667,0.880000,0.737778,0.860000,0.952778,0.970000,0.973333,0.985000,0.973889,0.980000,0.174613,0.071090,0.245703,0.692898,0.046415,0.739313,1.458158,0.044446,1.502604,3.995807,0.436778,4.432585,1.287451,0.726858,2.014309,0.564478,0.164029,0.728507
2190,0.819500,0.090000,0.841000,0.655000,0.678000,0.140000,0.909500,0.520000,0.879500,0.035000,0.887500,0.110000,0.195272,0.079497,0.274769,0.772355,0.051580,0.823935,1.617629,0.049458,1.667087,4.576438,0.491118,5.067556,1.455611,0.823349,2.278960,0.662013,0.197502,0.859514
2390,0.749545,0.050000,0.847273,0.910000,0.628636,0.135000,0.911818,0.935000,0.811818,0.135000,0.895455,0.975000,0.214494,0.088176,0.302670,0.860227,0.057026,0.917253,1.843349,0.054403,1.897752,5.245656,0.545521,5.791177,1.674814,0.948207,2.623021,0.725935,0.212413,0.938348
2590,0.741250,0.650000,0.848750,0.865000,0.590000,0.165000,0.912083,0.915000,0.782083,0.455000,0.900833,0.960000,0.240001,0.095579,0.335581,0.934529,0.062166,0.996696,2.010929,0.059335,2.070264,5.753574,0.596825,6.350399,1.860380,1.047665,2.908045,0.781820,0.228533,1.010352
2790,0.750385,0.860000,0.851538,0.885000,0.555769,0.145000,0.914231,0.940000,0.785385,0.825000,0.905769,0.965000,0.263807,0.104555,0.368362,1.012010,0.067789,1.079799,2.176982,0.064808,2.241790,6.242523,0.650583,6.893106,2.064194,1.152974,3.217168,0.860983,0.247904,1.108887
2990,0.762857,0.925000,0.852500,0.865000,0.530357,0.200000,0.916786,0.950000,0.798571,0.970000,0.911429,0.985000,0.290817,0.110486,0.401303,1.080789,0.072897,1.153685,2.334177,0.069882,2.404059,6.661464,0.699837,7.361301,2.210515,1.240393,3.450908,0.931223,0.269392,1.200615
3190,0.770667,0.880000,0.852000,0.845000,0.512333,0.260000,0.917000,0.920000,0.809333,0.960000,0.914667,0.960000,0.318701,0.116268,0.434969,1.150791,0.077939,1.228730,2.491154,0.074803,2.565957,7.064634,0.749164,7.813799,2.352637,1.317250,3.669887,1.002184,0.294077,1.296261
3390,0.778750,0.900000,0.853750,0.880000,0.498437,0.290000,0.919375,0.955000,0.818750,0.960000,0.919063,0.985000,0.348059,0.121879,0.469938,1.220351,0.083273,1.303624,2.663097,0.079765,2.742862,7.489889,0.800070,8.289960,2.506043,1.399722,3.905766,1.078155,0.322263,1.400418
3590,0.785882,0.900000,0.854118,0.860000,0.494118,0.425000,0.922647,0.975000,0.826765,0.955000,0.922941,0.985000,0.377550,0.127140,0.504690,1.289323,0.088349,1.377672,2.819780,0.084625,2.904404,7.885259,0.848864,8.734123,2.643259,1.476919,4.120178,1.158434,0.352589,1.511023
3790,0.793333,0.920000,0.854167,0.855000,0.515000,0.870000,0.923889,0.945000,0.834444,0.965000,0.926667,0.990000,0.407299,0.132193,0.539492,1.357700,0.093412,1.451112,2.975139,0.089473,3.064612,8.264779,0.896646,9.161425,2.786216,1.555478,4.341694,1.243236,0.385571,1.628806
3990,0.798947,0.900000,0.853158,0.835000,0.531053,0.820000,0.925263,0.950000,0.842368,0.985000,0.929474,0.980000,0.440059,0.137800,0.577859,1.429695,0.098705,1.528400,3.139643,0.094334,3.233977,8.685212,0.948760,9.633972,2.938981,1.643086,4.582068,1.338817,0.422389,1.761206
4190,0.806000,0.940000,0.855000,0.890000,0.546250,0.835000,0.927500,0.970000,0.849000,0.975000,0.933000,1.000000,0.472483,0.144326,0.616809,1.500123,0.103878,1.604001,3.286736,0.099222,3.385958,9.085143,1.000237,10.085380,3.085657,1.724805,4.810461,1.438336,0.462252,1.900588
4390,0.813095,0.955000,0.855238,0.860000,0.560000,0.835000,0.929762,0.975000,0.854762,0.970000,0.935476,0.985000,0.506093,0.149933,0.656026,1.568548,0.108912,1.677460,3.432219,0.104121,3.536340,9.483497,1.049237,10.532733,3.227282,1.805850,5.033132,1.552409,0.504251,2.056659
4590,0.818182,0.925000,0.856364,0.880000,0.574318,0.875000,0.931136,0.960000,0.860000,0.970000,0.937955,0.990000,0.541290,0.155884,0.697173,1.638903,0.114127,1.753030,3.593943,0.109134,3.703078,9.907466,1.101177,11.008643,3.374944,1.893313,5.268258,1.669137,0.550831,2.219968
4790,0.823261,0.935000,0.859130,0.920000,0.587826,0.885000,0.933043,0.975000,0.865000,0.975000,0.940000,0.985000,0.576765,0.161384,0.738149,1.708575,0.119182,1.827757,3.753743,0.113998,3.867740,10.292569,1.149924,11.442494,3.529383,1.985104,5.514487,1.788243,0.600562,2.388804
4990,0.827500,0.925000,0.859792,0.875000,0.602083,0.930000,0.934375,0.965000,0.869375,0.970000,0.942083,0.990000,0.610447,0.167346,0.777792,1.778625,0.124295,1.902920,3.911722,0.118991,4.030713,10.685093,1.199247,11.884339,3.684250,2.079028,5.763278,1.919865,0.653036,2.572901
5190,0.832200,0.945000,0.861200,0.895000,0.615400,0.935000,0.936200,0.980000,0.873000,0.960000,0.944000,0.990000,0.644824,0.173342,0.818167,1.852457,0.129404,1.981861,4.080117,0.124593,4.204710,11.123503,1.253468,12.376972,3.847097,2.186156,6.033253,2.056098,0.715730,2.771829
5390,0.835577,0.920000,0.862308,0.890000,0.626923,0.915000,0.937500,0.970000,0.876346,0.960000,0.945577,0.985000,0.683886,0.179461,0.863346,1.929104,0.134590,2.063694,4.300269,0.130032,4.430301,11.587204,1.306065,12.893269,4.052776,2.314029,6.366805,2.224548,0.803570,3.028118
5590,0.840000,0.955000,0.863889,0.905000,0.637778,0.920000,0.939444,0.990000,0.880370,0.985000,0.947222,0.990000,0.735786,0.186083,0.921869,2.007204,0.140500,2.147704,4.487395,0.135569,4.622965,12.062116,1.364569,13.426685,4.239486,2.458115,6.697601,2.416125,0.877910,3.294036
5790,0.843750,0.945000,0.863929,0.865000,0.647679,0.915000,0.941071,0.985000,0.883214,0.960000,0.948750,0.990000,0.773692,0.192573,0.966266,2.079834,0.145947,2.225781,4.654795,0.140774,4.795569,12.490605,1.419270,13.909875,4.415949,2.565442,6.981391,2.578950,0.946188,3.525137
5990,0.846207,0.915000,0.864138,0.870000,0.656379,0.900000,0.942241,0.975000,0.886552,0.980000,0.950517,1.000000,0.809986,0.198666,1.008652,2.148189,0.151011,2.299200,4.810165,0.145685,4.955850,12.873458,1.468569,14.342027,4.574880,2.655134,7.230013,2.730116,1.012156,3.742273
6190,0.849333,0.940000,0.865500,0.905000,0.665333,0.925000,0.943667,0.985000,0.889833,0.985000,0.951333,0.975000,0.846501,0.204628,1.051128,2.216396,0.156073,2.372470,4.966723,0.150534,5.117257,13.257516,1.517505,14.775021,4.722641,2.746257,7.468898,2.885660,1.082144,3.967803
6390,0.852258,0.940000,0.864032,0.820000,0.671290,0.850000,0.944516,0.970000,0.892742,0.980000,0.952419,0.985000,0.885006,0.210867,1.095873,2.284988,0.161177,2.446165,5.123945,0.155437,5.279382,13.637156,1.567735,15.204891,4.873600,2.830217,7.703818,3.046290,1.154397,4.200687
6590,0.855156,0.945000,0.864688,0.885000,0.678594,0.905000,0.945625,0.980000,0.895781,0.990000,0.953594,0.990000,0.925049,0.217266,1.142316,2.364259,0.166326,2.530585,5.293011,0.163586,5.456597,14.079757,1.620581,15.700339,5.030838,2.918618,7.949456,3.230923,1.238159,4.469082
6790,0.857879,0.945000,0.864848,0.870000,0.685000,0.890000,0.946667,0.980000,0.897879,0.965000,0.954394,0.980000,0.961820,0.223134,1.184953,2.431968,0.171396,2.603364,5.448855,0.168446,5.617301,14.490652,1.669485,16.160137,5.175295,3.003010,8.178305,3.408158,1.316320,4.724478
6990,0.860882,0.960000,0.866618,0.925000,0.692353,0.935000,0.948088,0.995000,0.900147,0.975000,0.955735,1.000000,1.003272,0.230495,1.233767,2.509840,0.176907,2.686748,5.626174,0.173602,5.799776,14.965530,1.724885,16.690415,5.344955,3.097875,8.442830,3.621882,1.405627,5.027508
7190,0.863143,0.940000,0.867857,0.910000,0.698857,0.920000,0.948857,0.975000,0.902143,0.970000,0.956714,0.990000,1.042375,0.236613,1.278988,2.577678,0.181962,2.759640,5.787039,0.178482,5.965521,15.366893,1.774362,17.141255,5.497495,3.185338,8.682834,4.680770,1.463986,6.144757
7390,0.865417,0.945000,0.869028,0.910000,0.705278,0.930000,0.949722,0.980000,0.904306,0.980000,0.957222,0.975000,1.082320,0.242877,1.325196,2.647537,0.187165,2.834702,5.948317,0.183412,6.131729,15.775248,1.833890,17.609138,5.651800,3.277658,8.929459,4.845112,1.524823,6.369934
7590,0.867838,0.955000,0.869865,0.900000,0.710946,0.915000,0.950676,0.985000,0.906486,0.985000,0.958108,0.990000,1.120590,0.248818,1.369408,2.716700,0.192375,2.909075,6.103943,0.188306,6.292249,16.176151,1.882977,18.059128,5.810781,3.365391,9.176172,5.055521,1.587540,6.643060
7790,0.869342,0.925000,0.870000,0.875000,0.714342,0.840000,0.951184,0.970000,0.908421,0.980000,0.958947,0.990000,1.161120,0.255081,1.416201,2.785857,0.197746,2.983603,6.246180,0.193264,6.439444,16.600903,1.933143,18.534046,5.958168,3.453133,9.411301,5.238643,1.654189,6.892832
7990,0.871282,0.945000,0.871026,0.910000,0.717692,0.845000,0.952051,0.985000,0.910128,0.975000,0.959744,0.990000,1.200761,0.261331,1.462092,2.855182,0.203002,3.058184,6.398905,0.198150,6.597055,16.996726,1.982577,18.979302,6.107868,3.538737,9.646606,5.416214,1.723713,7.139927
8190,0.872750,0.930000,0.871125,0.875000,0.720875,0.845000,0.953000,0.990000,0.911625,0.970000,0.960500,0.990000,1.242019,0.267670,1.509689,2.924434,0.208044,3.132477,6.557402,0.203053,6.760456,17.413612,2.034946,19.448557,6.263713,3.629789,9.893502,5.797874,1.783210,7.581084
8390,0.875000,0.965000,0.871585,0.890000,0.725122,0.895000,0.953902,0.990000,0.913293,0.980000,0.961220,0.990000,1.281445,0.273671,1.555116,2.992493,0.213092,3.205586,6.714701,0.207955,6.922656,17.827665,2.084007,19.911673,6.420779,3.723645,10.144423,5.953269,1.842411,7.795680
8590,0.876667,0.945000,0.872143,0.895000,0.728690,0.875000,0.954167,0.965000,0.914762,0.975000,0.961905,0.990000,1.320927,0.280232,1.601159,3.065379,0.218194,3.283574,6.918119,0.212819,7.130937,18.346363,2.143370,20.489734,6.635200,3.832404,10.467605,6.221991,1.929414,8.151405
8790,0.878488,0.955000,0.872093,0.870000,0.732791,0.905000,0.955000,0.990000,0.916395,0.985000,0.962558,0.990000,1.367857,0.287134,1.654991,3.136083,0.223341,3.359425,7.118586,0.217786,7.336372,18.825040,2.210784,21.035824,6.804022,3.940634,10.744656,6.401235,2.009056,8.410291
8990,0.880000,0.945000,0.872273,0.880000,0.736477,0.895000,0.955682,0.985000,0.917841,0.980000,0.963068,0.985000,1.413746,0.294139,1.707884,3.217443,0.229356,3.446799,7.323807,0.223285,7.547092,19.437769,2.282578,21.720347,7.009583,4.089546,11.099129,6.636095,2.084426,8.720521
