id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[RRSLVQ],current_acc_[RRSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[SAM-KNN],current_acc_[SAM-KNN],model_size_[ARSLVQ],model_size_[RRSLVQ],model_size_[ARF],model_size_[SAM-KNN]
200,0.480000,0.480000,0.780000,0.780000,0.600000,0.600000,0.840000,0.840000,22.333008,1006.058594,1712.813477,979464.685547
350,0.390000,0.390000,0.735000,0.735000,0.670000,0.670000,0.920000,0.920000,22.333008,1029.140625,2505.208008,980245.966797
550,0.362500,0.335000,0.767500,0.800000,0.692500,0.715000,0.922500,0.925000,22.333008,1015.757812,3494.790039,982056.599609
750,0.351667,0.330000,0.765000,0.760000,0.700000,0.715000,0.926667,0.935000,22.333008,1023.054688,4509.899414,984027.279297
950,0.362500,0.395000,0.766250,0.770000,0.695000,0.680000,0.920000,0.900000,22.333008,1039.171875,5697.137695,985997.810547
1150,0.362000,0.360000,0.767000,0.770000,0.700000,0.720000,0.924000,0.940000,22.333008,1030.531250,6618.977539,987015.853516
1350,0.358333,0.340000,0.750000,0.665000,0.701667,0.710000,0.931667,0.970000,22.333008,1042.984375,8080.950195,987745.685547
1550,0.350714,0.305000,0.745714,0.720000,0.711429,0.770000,0.931429,0.930000,22.333008,1041.179688,9029.008789,989160.208984
1750,0.353125,0.370000,0.749375,0.775000,0.715000,0.740000,0.931875,0.935000,22.333008,1028.371094,9924.321289,990870.244141
1950,0.355556,0.375000,0.747222,0.730000,0.710556,0.675000,0.927778,0.895000,22.333008,1045.753906,10989.340820,992499.560547
2150,0.347500,0.275000,0.741000,0.685000,0.717500,0.780000,0.931500,0.965000,22.333008,1042.152344,11836.821289,992639.548828
2350,0.339091,0.255000,0.738182,0.710000,0.723182,0.780000,0.931818,0.935000,22.333008,1040.152344,12567.137695,994172.556641
2550,0.342083,0.375000,0.736667,0.720000,0.723333,0.725000,0.931250,0.925000,22.333008,1032.582031,13528.477539,995806.759766
2750,0.335000,0.250000,0.736538,0.735000,0.728462,0.790000,0.931538,0.935000,22.333008,1046.050781,14391.250977,997156.748047
2950,0.335000,0.335000,0.737857,0.755000,0.727857,0.720000,0.930000,0.910000,22.333008,1025.027344,15094.282227,998340.072266
