id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[RRSLVQ],current_acc_[RRSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[SAM-KNN],current_acc_[SAM-KNN],model_size_[ARSLVQ],model_size_[RRSLVQ],model_size_[ARF],model_size_[SAM-KNN]
200,0.460000,0.460000,0.920000,0.920000,0.920000,0.920000,0.940000,0.940000,7.032227,180.328125,599.278320,977771.236328
350,0.345000,0.345000,0.855000,0.855000,0.780000,0.780000,0.765000,0.765000,7.032227,177.300781,935.379883,978075.650391
550,0.427500,0.510000,0.815000,0.775000,0.755000,0.730000,0.742500,0.720000,7.032227,171.769531,1403.719727,977771.033203
750,0.510000,0.675000,0.815000,0.815000,0.723333,0.660000,0.750000,0.765000,7.032227,180.394531,1882.067383,977816.080078
950,0.498750,0.465000,0.813750,0.810000,0.727500,0.740000,0.747500,0.740000,7.032227,173.542969,2161.040039,977785.033203
1150,0.475000,0.380000,0.820000,0.845000,0.732000,0.750000,0.750000,0.760000,7.032227,173.027344,2828.411133,977857.634766
1350,0.498333,0.615000,0.825833,0.855000,0.730000,0.720000,0.770833,0.875000,7.032227,179.152344,3256.938477,977950.431641
1550,0.510000,0.580000,0.839286,0.920000,0.722857,0.680000,0.771429,0.775000,7.032227,172.152344,3769.477539,978356.798828
1750,0.545625,0.795000,0.845625,0.890000,0.722500,0.720000,0.782500,0.860000,7.032227,177.820312,4383.020508,978059.326172
1950,0.556667,0.645000,0.848333,0.870000,0.719444,0.695000,0.790000,0.850000,7.032227,185.710938,4933.875977,977993.318359
2150,0.566000,0.650000,0.841500,0.780000,0.719000,0.715000,0.786500,0.755000,7.032227,177.070312,5612.817383,977971.490234
2350,0.553182,0.425000,0.840000,0.825000,0.713636,0.660000,0.788636,0.810000,7.032227,174.640625,6160.579102,978103.216797
2550,0.561250,0.650000,0.840833,0.850000,0.710000,0.670000,0.780000,0.685000,7.032227,177.929688,6696.036133,978331.755859
2750,0.570385,0.680000,0.843077,0.870000,0.710769,0.720000,0.784231,0.835000,7.032227,176.359375,7384.375977,978141.818359
2950,0.571071,0.580000,0.843214,0.845000,0.711071,0.715000,0.781786,0.750000,7.032227,181.507812,7905.004883,978186.326172
3150,0.561667,0.430000,0.843000,0.840000,0.712000,0.725000,0.779333,0.745000,7.032227,177.859375,7967.415039,978058.404297
3350,0.578438,0.830000,0.842812,0.840000,0.715313,0.765000,0.786250,0.890000,7.032227,190.507812,8485.860352,978093.333984
3550,0.581471,0.630000,0.841765,0.825000,0.715000,0.710000,0.787059,0.800000,7.032227,176.046875,9030.532227,978046.443359
3750,0.577222,0.505000,0.838889,0.790000,0.714167,0.700000,0.787500,0.795000,7.032227,169.523438,9468.668945,978143.693359
3950,0.583158,0.690000,0.842368,0.905000,0.712105,0.675000,0.790000,0.835000,7.032227,181.468750,10024.985352,978027.771484
4150,0.583250,0.585000,0.841000,0.815000,0.712750,0.725000,0.793250,0.855000,7.032227,177.437500,10455.774414,977998.990234
4350,0.584286,0.605000,0.841429,0.850000,0.716429,0.790000,0.794286,0.815000,7.032227,190.476562,10949.661133,978081.052734
4550,0.589773,0.705000,0.842955,0.875000,0.715455,0.695000,0.793636,0.780000,7.032227,190.218750,11546.536133,978147.771484
4750,0.593696,0.680000,0.842609,0.835000,0.714130,0.685000,0.793478,0.790000,7.032227,189.859375,12067.879883,978051.365234
4950,0.596667,0.665000,0.842708,0.845000,0.716042,0.760000,0.796250,0.860000,7.032227,188.875000,12581.297852,978041.904297
