id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[RRSLVQ],current_acc_[RRSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[SAM-KNN],current_acc_[SAM-KNN],model_size_[ARSLVQ],model_size_[RRSLVQ],model_size_[ARF],model_size_[SAM-KNN]
200,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5982.222656,9558.188477,8163.539062,987619.775391
399,0.275000,0.275000,0.555000,0.555000,0.725000,0.725000,0.745000,0.745000,5982.222656,9546.477539,9469.894531,992291.041016
599,0.287500,0.300000,0.515000,0.475000,0.715000,0.705000,0.727500,0.710000,5982.222656,9603.188477,10651.507812,996651.779297
799,0.293333,0.305000,0.546667,0.610000,0.706667,0.690000,0.720000,0.705000,5982.222656,9584.391602,11876.386719,997362.923828
999,0.320000,0.400000,0.557500,0.590000,0.682500,0.610000,0.700000,0.640000,5982.222656,9520.875977,13611.167969,1004196.783203
1199,0.313000,0.285000,0.558000,0.560000,0.691000,0.725000,0.711000,0.755000,5982.222656,9584.594727,15122.535156,1003620.787109
1399,0.319167,0.350000,0.550000,0.510000,0.690833,0.690000,0.700000,0.645000,5982.222656,9590.352539,16582.792969,1009322.951172
1599,0.322143,0.340000,0.553571,0.575000,0.692143,0.700000,0.697143,0.680000,5982.222656,9604.297852,18461.628906,1008865.673828
1799,0.326875,0.360000,0.551250,0.535000,0.683750,0.625000,0.691875,0.655000,5982.222656,9616.610352,19954.183594,1004962.548828
1999,0.327222,0.330000,0.546111,0.505000,0.687778,0.720000,0.695000,0.720000,5982.222656,9603.204102,21953.660156,1003610.333984
2199,0.327000,0.325000,0.545500,0.540000,0.690500,0.715000,0.699500,0.740000,5982.222656,9589.336914,23849.585938,1005863.611328
2399,0.324091,0.295000,0.543636,0.525000,0.691364,0.700000,0.703182,0.740000,5982.222656,9599.719727,25861.074219,1003923.798828
2599,0.323333,0.315000,0.541667,0.520000,0.692917,0.710000,0.700833,0.675000,5982.222656,9640.321289,27726.437500,1001818.431641
2799,0.321923,0.305000,0.533462,0.435000,0.694231,0.710000,0.700000,0.690000,5982.222656,9603.563477,29182.765625,1003798.611328
2999,0.324286,0.355000,0.530000,0.485000,0.693571,0.685000,0.695714,0.640000,5982.222656,9618.250977,31503.132812,1008088.197266
3199,0.325333,0.340000,0.526000,0.470000,0.693000,0.685000,0.695000,0.685000,5982.222656,9605.758789,30922.355469,1006849.490234
3399,0.326875,0.350000,0.526250,0.530000,0.693125,0.695000,0.694063,0.680000,5982.222656,9643.649414,33105.402344,1006591.982422
3599,0.327941,0.345000,0.526471,0.530000,0.693235,0.695000,0.690882,0.640000,5982.222656,9648.985352,34682.636719,1008759.716797
3799,0.330556,0.375000,0.525278,0.505000,0.691944,0.670000,0.690278,0.680000,5982.222656,9722.422852,35593.570312,1010934.166016
3999,0.330526,0.330000,0.526579,0.550000,0.692368,0.700000,0.690526,0.695000,5982.222656,9703.055664,37953.414062,1011652.181641
4199,0.331250,0.345000,0.524500,0.485000,0.691250,0.670000,0.688750,0.655000,5982.222656,9743.485352,40359.105469,1011703.845703
4399,0.328571,0.275000,0.522619,0.485000,0.693571,0.740000,0.690714,0.730000,5982.222656,9706.961914,42474.187500,1010123.306641
4599,0.329091,0.340000,0.522045,0.510000,0.692727,0.675000,0.690455,0.685000,5982.222656,9681.696289,44395.410156,1007275.791016
4799,0.329783,0.345000,0.521522,0.510000,0.693043,0.700000,0.691957,0.725000,5982.222656,9731.813477,46180.484375,1010202.333984
4999,0.330833,0.355000,0.521667,0.525000,0.691667,0.660000,0.688333,0.605000,5982.222656,9764.805664,47897.121094,1016958.052734
5199,0.332000,0.360000,0.522800,0.550000,0.691600,0.690000,0.687400,0.665000,5982.222656,9714.610352,49707.082031,1014380.580078
5399,0.331154,0.310000,0.522885,0.525000,0.692885,0.725000,0.688269,0.710000,5982.222656,9700.899414,51651.488281,1010176.666016
5599,0.332037,0.355000,0.524074,0.555000,0.692407,0.680000,0.689815,0.730000,5982.222656,9764.946289,53343.578125,1009563.439453
5799,0.332143,0.335000,0.524286,0.530000,0.692679,0.700000,0.690357,0.705000,5982.222656,9697.016602,55471.785156,1010200.705078
5999,0.332759,0.350000,0.524483,0.530000,0.692586,0.690000,0.688276,0.630000,5982.222656,9709.555664,57658.558594,1009386.404297
